Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,ORDER,AVANT,11,16,Train
Team1,ORDER,AVANT,16,12,Inferno
Team1,ORDER,AVANT,16,12,Inferno
Team1,ORDER,AVANT,16,13,Dust2
Team1,ORDER,AVANT,16,14,Mirage
Team1,ORDER,AVANT,16,14,Train
Team1,ORDER,AVANT,16,7,Nuke
Team1,ORDER,AVANT,16,7,Train
Team1,ORDER,AVANT,19,15,Dust2
Team1,ORDER,AVANT,19,16,Inferno
Team1,ORDER,AVANT,4,16,Dust2
Team1,ORDER,AVANT,6,16,Inferno
Team1,ORDER,AVANT,7,16,Dust2
Team1,ORDER,AVANT,7,16,Mirage
Team1,ORDER,AVANT,9,16,Dust2
Team1,ORDER,Athletico,16,10,Mirage
Team1,ORDER,Breakaway,16,11,Nuke
Team1,ORDER,Breakaway,16,7,Nuke
Team1,ORDER,Breakaway,19,17,Nuke
Team1,ORDER,Breakaway,6,16,Inferno
Team1,ORDER,Buckets,16,10,Inferno
Team1,ORDER,Chiefs,1,16,Nuke
Team1,ORDER,Chiefs,11,16,Inferno
Team1,ORDER,Chiefs,11,16,Inferno
Team1,ORDER,Chiefs,12,16,Nuke
Team1,ORDER,Chiefs,14,16,Mirage
Team1,ORDER,Chiefs,16,1,Nuke
Team1,ORDER,Chiefs,16,11,Inferno
Team1,ORDER,Chiefs,16,11,Mirage
Team1,ORDER,Chiefs,16,11,Nuke
Team1,ORDER,Chiefs,16,12,Inferno
Team1,ORDER,Chiefs,16,12,Train
Team1,ORDER,Chiefs,16,13,Dust2
Team1,ORDER,Chiefs,16,13,Train
Team1,ORDER,Chiefs,16,14,Overpass
Team1,ORDER,Chiefs,16,5,Inferno
Team1,ORDER,Chiefs,16,9,Train
Team1,ORDER,Chiefs,22,19,Train
Team1,ORDER,Chiefs,6,16,Overpass
Team1,ORDER,Chiefs,9,16,Nuke
Team1,ORDER,Fighting 4 Freedom,16,0,Overpass
Team1,ORDER,Fighting 4 Freedom,16,10,Mirage
Team1,ORDER,Fighting 4 Freedom,16,6,Inferno
Team1,ORDER,Fighting 4 Freedom,16,6,Nuke
Team1,ORDER,Genuine,16,10,Vertigo
Team1,ORDER,Genuine,16,11,Inferno
Team1,ORDER,Genuine,16,12,Inferno
Team1,ORDER,Genuine,16,12,Train
Team1,ORDER,Genuine,16,14,Nuke
Team1,ORDER,Genuine,16,8,Nuke
Team1,ORDER,Genuine,19,22,Mirage
Team1,ORDER,Genuine,6,16,Inferno
Team1,ORDER,Grayhound,13,16,Nuke
Team1,ORDER,Grayhound,16,13,Mirage
Team1,ORDER,Grayhound,16,13,Mirage
Team1,ORDER,Grayhound,16,9,Mirage
Team1,ORDER,Grayhound,3,16,Overpass
Team1,ORDER,Grayhound,5,16,Inferno
Team1,ORDER,Grayhound,6,16,Overpass
Team1,ORDER,Grayhound,8,16,Mirage
