Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Oceanus,ATK,2,16,Dust2
Team1,Oceanus,ATK,9,16,Mirage
Team1,Oceanus,Asuna's Anime Aimers,16,13,Nuke
Team1,Oceanus,ETHEREAL,16,12,Nuke
Team1,Oceanus,Faint,16,10,Dust2
Team1,Oceanus,Faint,16,3,Nuke
Team1,Oceanus,Faint,6,16,Vertigo
Team1,Oceanus,Gorilla Gang,16,14,Inferno
Team1,Oceanus,In The Lab,16,9,Nuke
Team1,Oceanus,In The Lab,9,16,Mirage
Team1,Oceanus,J Money Crew,12,16,Nuke
Team1,Oceanus,J Money Crew,16,14,Overpass
Team1,Oceanus,Kinship,16,3,Nuke
Team1,Oceanus,LiViD,16,14,Inferno
Team1,Oceanus,LiViD,16,8,Mirage
Team1,Oceanus,Mythic,8,16,Vertigo
Team1,Oceanus,New England Whalers,16,13,Nuke
Team1,Oceanus,New Identity,14,16,Mirage
Team1,Oceanus,New Identity,16,14,Train
Team1,Oceanus,New Identity,4,16,Overpass
Team1,Oceanus,Under 21,2,16,Nuke
Team1,Oceanus,timbermen,16,4,Nuke
Team1,Oceanus,timbermen,19,17,Train
Team2,Oceanus,Big Chillin,16,8,Nuke
Team2,Oceanus,Big Frames,11,16,Dust2
Team2,Oceanus,Daryl's make a wish,16,5,Mirage
Team2,Oceanus,ETHEREAL,12,16,Inferno
Team2,Oceanus,Infinity,16,9,Train
Team2,Oceanus,Kinship,16,4,Train
Team2,Oceanus,Monstars,14,16,Mirage
Team2,Oceanus,Thunder Logic,16,9,Nuke
Team2,Oceanus,iNTACT,14,16,Mirage
