Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,PC419,AVANT,12,16,Mirage
Team1,PC419,AVANT,6,16,Nuke
Team1,PC419,AVANT,9,16,Mirage
Team1,PC419,Airborne,16,9,Inferno
Team1,PC419,Airborne,4,16,Vertigo
Team1,PC419,Buckets,16,14,Nuke
Team1,PC419,Chiefs,5,16,Inferno
Team1,PC419,Chiefs,8,16,Dust2
Team1,PC419,Content,7,16,Nuke
Team1,PC419,Control,16,14,Dust2
Team1,PC419,Control,16,8,Nuke
Team1,PC419,Fanta,16,14,Dust2
Team1,PC419,Genuine,16,10,Inferno
Team1,PC419,Grayhound,6,16,Dust2
Team1,PC419,Jade,16,12,Dust2
Team1,PC419,Mako,6,16,Nuke
Team1,PC419,Paradox,3,16,Dust2
Team1,PC419,PopoutBoyz,16,11,Inferno
Team1,PC419,R!OT,7,16,Mirage
Team1,PC419,Rooster,3,16,Mirage
Team1,PC419,SYF,16,14,Nuke
Team1,PC419,Skyfire,4,16,Nuke
Team1,PC419,StackEm,16,14,Nuke
Team1,PC419,TRIDENT,9,16,Mirage
Team1,PC419,ex-Genuine,3,16,Mirage
Team1,PC419,ex-Genuine,4,16,Vertigo
Team1,PC419,madlikewizards,16,11,Dust2
Team1,PC419,really weird,11,16,Inferno
Team1,PC419,rewound,13,16,Dust2
Team1,PC419,rewound,8,16,Inferno
Team2,PC419,AVANT,10,16,Train
Team2,PC419,Bizarre,16,7,Mirage
Team2,PC419,Breakaway,10,16,Dust2
Team2,PC419,Caladrius,14,16,Inferno
Team2,PC419,Dippers,16,8,Vertigo
Team2,PC419,Esper,16,6,Nuke
Team2,PC419,FURY,16,6,Dust2
Team2,PC419,Fanta,12,16,Inferno
Team2,PC419,Formidable,16,8,Nuke
Team2,PC419,Genuine,10,16,Inferno
Team2,PC419,Genuine,16,9,Mirage
Team2,PC419,Grayhound,1,16,Nuke
Team2,PC419,Ground Zero,10,16,Mirage
Team2,PC419,Ground Zero,14,16,Inferno
Team2,PC419,Incept,16,6,Mirage
Team2,PC419,MC,11,16,Inferno
Team2,PC419,Paradox,16,19,Dust2
Team2,PC419,Rooster,1,16,Inferno
Team2,PC419,SYF,19,22,Mirage
Team2,PC419,Skyfire,12,16,Mirage
Team2,PC419,StackEm,14,16,Mirage
Team2,PC419,ZOOWEEMAMA,16,8,Nuke
Team2,PC419,catman,16,4,Dust2
Team2,PC419,really weird,14,16,Vertigo
