Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Party Astronauts,ATK,4,16,Overpass
Team1,Party Astronauts,ATK,9,16,Mirage
Team1,Party Astronauts,Bad News Bears,16,14,Dust2
Team1,Party Astronauts,Bad News Bears,6,16,Cache
Team1,Party Astronauts,Envy,16,11,Overpass
Team1,Party Astronauts,Envy,6,16,Nuke
Team1,Party Astronauts,Envy,8,16,Train
Team1,Party Astronauts,Final Feature,19,16,Dust2
Team1,Party Astronauts,INTZ,8,16,Train
Team1,Party Astronauts,Mythic,9,16,Dust2
Team1,Party Astronauts,New England Whalers,16,1,Train
Team1,Party Astronauts,New Identity,16,12,Train
Team1,Party Astronauts,Old Guys Club,16,12,Overpass
Team1,Party Astronauts,Peeker's Advantage,16,14,Inferno
Team1,Party Astronauts,Peeker's Advantage,9,16,Dust2
Team1,Party Astronauts,Rugratz,13,16,Nuke
Team1,Party Astronauts,Rugratz,16,10,Mirage
Team1,Party Astronauts,Singularity,12,16,Nuke
Team1,Party Astronauts,Singularity,16,12,Mirage
Team1,Party Astronauts,Singularity,16,13,Nuke
Team1,Party Astronauts,Singularity,6,16,Mirage
Team1,Party Astronauts,Singularity,9,16,Mirage
Team1,Party Astronauts,Singularity,9,16,Overpass
Team1,Party Astronauts,Spacestation,16,2,Vertigo
Team1,Party Astronauts,Spacestation,22,20,Nuke
Team1,Party Astronauts,The Quest,16,12,Nuke
Team1,Party Astronauts,Zone,16,13,Nuke
Team1,Party Astronauts,eUnited,12,16,Dust2
Team2,Party Astronauts,ATK,16,8,Dust2
Team2,Party Astronauts,Ascent,12,16,Train
Team2,Party Astronauts,Bad News Bears,14,16,Overpass
Team2,Party Astronauts,Big Frames,16,4,Inferno
Team2,Party Astronauts,Envy,13,16,Dust2
Team2,Party Astronauts,Forty Six and 2,14,16,Overpass
Team2,Party Astronauts,Good Game PR,16,3,Mirage
Team2,Party Astronauts,Good Game PR,16,5,Overpass
Team2,Party Astronauts,Good Game PR,20,22,Train
Team2,Party Astronauts,INTZ,11,16,Nuke
Team2,Party Astronauts,Infamous,16,6,Dust2
Team2,Party Astronauts,Luminosity,11,16,Train
Team2,Party Astronauts,Luminosity,13,16,Mirage
Team2,Party Astronauts,Luminosity,14,16,Dust2
Team2,Party Astronauts,MASSIVEimpact,10,16,Overpass
Team2,Party Astronauts,Mythic,16,5,Dust2
Team2,Party Astronauts,Peeker's Advantage,14,16,Mirage
Team2,Party Astronauts,Polar Ace,16,8,Dust2
Team2,Party Astronauts,Rugratz,11,16,Dust2
Team2,Party Astronauts,Rugratz,16,8,Overpass
Team2,Party Astronauts,Stay Frosty,16,6,Overpass
Team2,Party Astronauts,TeamOne,16,6,Overpass
Team2,Party Astronauts,Variance,10,16,Train
Team2,Party Astronauts,eUnited,15,19,Overpass
Team2,Party Astronauts,iNTACT,16,7,Overpass
