Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Peeker's Advantage,ATK,8,16,Dust2
Team1,Peeker's Advantage,BLITZKRIEG,19,17,Overpass
Team1,Peeker's Advantage,Bad News Bears,16,12,Dust2
Team1,Peeker's Advantage,Just Swing,16,11,Inferno
Team1,Peeker's Advantage,Just Swing,16,7,Overpass
Team1,Peeker's Advantage,Monstars,4,16,Mirage
Team1,Peeker's Advantage,Mythic,19,16,Overpass
Team1,Peeker's Advantage,Rap Gang,6,16,Mirage
Team1,Peeker's Advantage,Riot Squad,7,16,Inferno
Team1,Peeker's Advantage,Rugratz,16,10,Mirage
Team1,Peeker's Advantage,TeamOne,25,23,Mirage
Team2,Peeker's Advantage,Ascent,14,16,Dust2
Team2,Peeker's Advantage,Ben's Anime Team,22,25,Mirage
Team2,Peeker's Advantage,Bushido Boyz,14,16,Dust2
Team2,Peeker's Advantage,Bushido Boyz,14,16,Dust2
Team2,Peeker's Advantage,Good Game PR,11,16,Inferno
Team2,Peeker's Advantage,Just Swing,16,7,Overpass
Team2,Peeker's Advantage,TeamOne,11,16,Dust2
Team2,Peeker's Advantage,The Quest,11,16,Overpass
