Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Phoenix,7PM fe,12,16,Inferno
Team1,Phoenix,Ambush,14,16,Inferno
Team1,Phoenix,Fierce,16,12,Mirage
Team1,Phoenix,Gambit Youngsters,16,10,Mirage
Team1,Phoenix,Gambit Youngsters,16,11,Overpass
Team1,Phoenix,HAVU,11,16,Inferno
Team1,Phoenix,HAVU,16,7,Inferno
Team1,Phoenix,HAVU,8,16,Nuke
Team1,Phoenix,HAVU,9,16,Dust2
Team1,Phoenix,HAVU,9,16,Train
Team1,Phoenix,Heretics,16,10,Dust2
Team1,Phoenix,Heretics,16,10,Inferno
Team1,Phoenix,Heretics,6,16,Inferno
Team1,Phoenix,Heretics,7,16,Mirage
Team1,Phoenix,Heroic,5,16,Mirage
Team1,Phoenix,Heroic,8,16,Vertigo
Team1,Phoenix,Nemiga,8,16,Dust2
Team1,Phoenix,PACT,16,13,Dust2
Team1,Phoenix,PACT,19,17,Inferno
Team1,Phoenix,PACT,8,16,Inferno
Team1,Phoenix,SKADE,16,10,Dust2
Team1,Phoenix,SKADE,16,11,Train
Team1,Phoenix,SKADE,16,5,Mirage
Team1,Phoenix,Vexed,10,16,Nuke
Team2,Phoenix,AGO,16,19,Mirage
Team2,Phoenix,Ambush,16,8,Mirage
Team2,Phoenix,Demise,16,7,Mirage
Team2,Phoenix,Fierce,13,16,Overpass
Team2,Phoenix,Fierce,16,9,Inferno
Team2,Phoenix,Heretics,16,6,Inferno
Team2,Phoenix,Heretics,16,9,Mirage
Team2,Phoenix,LDLC,16,7,Dust2
Team2,Phoenix,LDLC,16,9,Inferno
Team2,Phoenix,Nemiga,10,16,Inferno
Team2,Phoenix,SKADE,17,19,Inferno
Team2,Phoenix,Tricked,16,19,Dust2
Team2,Phoenix,Vexed,10,16,Inferno
