Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Pompa,AGO,22,20,Train
Team1,Pompa,AVEZ,5,16,Overpass
Team1,Pompa,Apeks,10,16,Mirage
Team1,Pompa,Cyber Legacy,16,8,Nuke
Team1,Pompa,Cyber Legacy,16,8,Nuke
Team1,Pompa,Cyber Legacy,16,8,Nuke
Team1,Pompa,Cyber Legacy,16,8,Nuke
Team1,Pompa,Cyber Legacy,16,8,Nuke
Team1,Pompa,Cyber Legacy,16,8,Nuke
Team1,Pompa,Cyber Legacy,16,8,Nuke
Team1,Pompa,Cyber Legacy,16,8,Nuke
Team1,Pompa,Cyber Legacy,16,8,Nuke
Team1,Pompa,Cyber Legacy,16,8,Nuke
Team1,Pompa,Cyber Legacy,16,8,Nuke
Team1,Pompa,Cyber Legacy,16,8,Nuke
Team1,Pompa,ENRAGE,9,16,Mirage
Team1,Pompa,Espada,6,16,Mirage
Team1,Pompa,Espada,7,16,Train
Team1,Pompa,Fragbox,9,16,Overpass
Team1,Pompa,HellRaisers,16,13,Overpass
Team1,Pompa,HellRaisers,5,16,Train
Team1,Pompa,SKADE,4,16,Mirage
Team1,Pompa,SKADE,6,16,Train
Team2,Pompa,AVEZ,16,6,Train
Team2,Pompa,Cyber Legacy,16,7,Train
Team2,Pompa,Cyber Legacy,16,7,Train
Team2,Pompa,Cyber Legacy,16,7,Train
Team2,Pompa,Cyber Legacy,16,7,Train
Team2,Pompa,Cyber Legacy,16,7,Train
Team2,Pompa,Cyber Legacy,16,7,Train
Team2,Pompa,Cyber Legacy,16,7,Train
Team2,Pompa,Cyber Legacy,16,7,Train
Team2,Pompa,Cyber Legacy,16,7,Train
Team2,Pompa,Cyber Legacy,16,7,Train
Team2,Pompa,Cyber Legacy,16,7,Train
Team2,Pompa,Cyber Legacy,16,7,Train
Team2,Pompa,ENRAGE,10,16,Vertigo
Team2,Pompa,Fragbox,16,7,Nuke
Team2,Pompa,Fragbox,17,19,Vertigo
Team2,Pompa,Unluckers,16,6,Nuke
