Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Project X,EXTREMUM,16,12,Dust2
Team1,Project X,EXTREMUM,16,13,Inferno
Team1,Project X,Espada,16,10,Train
Team1,Project X,Espada,16,12,Dust2
Team1,Project X,PACT,9,16,Mirage
Team1,Project X,SG.pro,2,16,Dust2
Team1,Project X,SG.pro,8,16,Overpass
Team1,Project X,SKADE,16,14,Mirage
Team1,Project X,SKADE,5,16,Nuke
Team2,Project X,2BYL9,16,7,Mirage
Team2,Project X,2BYL9,16,9,Nuke
Team2,Project X,Espada,14,16,Nuke
Team2,Project X,KOVA,17,19,Nuke
Team2,Project X,PACT,16,2,Inferno
Team2,Project X,SKADE,13,16,Inferno
Team2,Project X,eL'quvet,17,19,Overpass
