Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Prospects,Big Chillin,14,16,Inferno
Team1,Prospects,Big Frames,14,16,Inferno
Team1,Prospects,Big Frames,16,13,Nuke
Team1,Prospects,Big Frames,5,16,Mirage
Team1,Prospects,New Identity,5,16,Nuke
Team1,Prospects,Peeker's Advantage,5,16,Mirage
Team1,Prospects,Singularity,4,16,Overpass
Team1,Prospects,TeamOne,2,16,Inferno
Team1,Prospects,TeamOne,5,16,Train
Team2,Prospects,Bad News Bears,12,16,Overpass
Team2,Prospects,Big Frames,12,16,Overpass
Team2,Prospects,Party Astronauts,12,16,Overpass
Team2,Prospects,TeamOne,10,16,Overpass
Team2,Prospects,iNTACT,11,16,Nuke
Team2,Prospects,iNTACT,13,16,Inferno
