Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,RBG,Gorilla Gang,16,14,Nuke
Team1,RBG,New England Whalers,4,16,Nuke
Team1,RBG,Oceanus,1,16,Nuke
Team1,RBG,Oceanus,16,12,Mirage
Team1,RBG,Rap Gang,6,16,Nuke
Team1,RBG,Riot Squad,14,16,Nuke
Team1,RBG,Riot Squad,5,16,Inferno
Team1,RBG,Rugratz,16,14,Nuke
Team1,RBG,Rugratz,5,16,Train
Team1,RBG,Rugratz,7,16,Inferno
Team1,RBG,Third Impact,5,16,Inferno
Team1,RBG,Under 21,16,12,Inferno
Team2,RBG,Cyberstorm,16,7,Overpass
Team2,RBG,Oceanus,13,16,Overpass
Team2,RBG,Thunder Logic,16,6,Train
