Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Redemption POA,Bulldozer,8,16,Mirage
Team1,Redemption POA,Chaos,5,16,Inferno
Team1,Redemption POA,Copenhagen Flames,7,16,Train
Team1,Redemption POA,DETONA,4,16,Mirage
Team1,Redemption POA,Evidence,16,11,Dust2
Team1,Redemption POA,Evidence,3,16,Inferno
Team1,Redemption POA,Evidence,6,16,Overpass
Team1,Redemption POA,Furious,16,10,Train
Team1,Redemption POA,Imperial,19,15,Inferno
Team1,Redemption POA,Inflames,16,19,Dust2
Team1,Redemption POA,Inflames,2,16,Dust2
Team1,Redemption POA,Isurus,2,16,Inferno
Team1,Redemption POA,Keyd,16,7,Train
Team1,Redemption POA,Keyd,9,16,Inferno
Team1,Redemption POA,RED Canids,16,10,Nuke
Team1,Redemption POA,RED Canids,16,13,Dust2
Team1,Redemption POA,RED Canids,19,15,Dust2
Team1,Redemption POA,RED Canids,7,16,Nuke
Team1,Redemption POA,RED Canids,7,16,Overpass
Team1,Redemption POA,RUFUS,16,11,Train
Team1,Redemption POA,RUFUS,22,19,Dust2
Team1,Redemption POA,Reapers,11,16,Dust2
Team1,Redemption POA,Reapers,16,13,Inferno
Team1,Redemption POA,Reapers,16,13,Mirage
Team1,Redemption POA,paiN,16,10,Nuke
Team1,Redemption POA,paiN,16,10,Train
Team1,Redemption POA,paiN,7,16,Overpass
Team2,Redemption POA,Bulldozer,10,16,Nuke
Team2,Redemption POA,Bulldozer,13,16,Cache
Team2,Redemption POA,Chaos,11,16,Overpass
Team2,Redemption POA,DETONA,16,2,Inferno
Team2,Redemption POA,Evidence,12,16,Mirage
Team2,Redemption POA,Evidence,12,16,Train
Team2,Redemption POA,INTZ,11,16,Nuke
Team2,Redemption POA,INTZ,23,25,Train
Team2,Redemption POA,Imperial,16,19,Mirage
Team2,Redemption POA,Inflames,16,6,Train
Team2,Redemption POA,RUFUS,12,16,Nuke
Team2,Redemption POA,Santos,14,16,Inferno
Team2,Redemption POA,W7M,13,16,Inferno
Team2,Redemption POA,W7M,16,9,Overpass
Team2,Redemption POA,WePlayGames,16,9,Mirage
Team2,Redemption POA,paiN,13,16,Inferno
