Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Rugratz,Ascent,16,8,Nuke
Team1,Rugratz,Asuna's Anime Aimers,8,16,Train
Team1,Rugratz,Bad News Bears,1,16,Nuke
Team1,Rugratz,Chris and the boys,16,9,Train
Team1,Rugratz,Infinity,16,3,Nuke
Team1,Rugratz,Just For Fun,5,16,Mirage
Team1,Rugratz,Monstars,16,9,Nuke
Team1,Rugratz,Morning Light,16,12,Inferno
Team1,Rugratz,Mythic,16,11,Overpass
Team1,Rugratz,Nfinite,16,1,Nuke
Team1,Rugratz,No Cap,16,10,Inferno
Team1,Rugratz,Ohio Meat Wagon,16,1,Train
Team1,Rugratz,Peeker's Advantage,16,12,Nuke
Team1,Rugratz,Polar Ace,16,11,Inferno
Team1,Rugratz,Recon 5,22,25,Inferno
Team1,Rugratz,Riot Squad,11,16,Train
Team1,Rugratz,Singularity,16,11,Inferno
Team1,Rugratz,Singularity,16,12,Mirage
Team1,Rugratz,Singularity,8,16,Nuke
Team1,Rugratz,Singularity,9,16,Train
Team1,Rugratz,Swole Identity,28,26,Vertigo
Team1,Rugratz,TeamOne,16,11,Overpass
Team1,Rugratz,TeamOne,16,14,Mirage
Team1,Rugratz,TeamOne,5,16,Inferno
Team1,Rugratz,Thunder Logic,16,11,Mirage
Team1,Rugratz,Warriors International,9,16,Overpass
Team1,Rugratz,bloo,8,16,Inferno
Team2,Rugratz,ATK,11,16,Train
Team2,Rugratz,Ascent,12,16,Mirage
Team2,Rugratz,Asuna's Anime Aimers,10,16,Mirage
Team2,Rugratz,Asuna's Anime Aimers,16,4,Nuke
Team2,Rugratz,Asuna's Anime Aimers,16,5,Nuke
Team2,Rugratz,Chaos,16,19,Overpass
Team2,Rugratz,Chris and the boys,16,8,Nuke
Team2,Rugratz,Front,16,6,Nuke
Team2,Rugratz,Front,16,8,Dust2
Team2,Rugratz,Good Game PR,16,5,Inferno
Team2,Rugratz,Infinity,16,6,Inferno
Team2,Rugratz,Just For Fun,16,19,Train
Team2,Rugratz,Monstars,16,3,Mirage
Team2,Rugratz,Monstars,16,4,Mirage
Team2,Rugratz,Mythic,16,8,Nuke
Team2,Rugratz,New Identity,11,16,Inferno
Team2,Rugratz,Oceanus,16,4,Mirage
Team2,Rugratz,Peeker's Advantage,18,22,Nuke
Team2,Rugratz,Polar Ace,10,16,Inferno
Team2,Rugratz,Prospects,16,6,Mirage
Team2,Rugratz,Riot Squad,10,16,Dust2
Team2,Rugratz,Riot Squad,16,19,Overpass
Team2,Rugratz,Singularity,11,16,Overpass
Team2,Rugratz,The Quest,16,8,Overpass
Team2,Rugratz,Under 21,1,16,Dust2
Team2,Rugratz,Under 21,16,4,Train
Team2,Rugratz,Variance,16,8,Overpass
Team2,Rugratz,ex-iNTACT,16,3,Nuke
