Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,SHIFT,Cataclysm,16,10,Inferno
Team1,SHIFT,D13,13,16,Train
Team1,SHIFT,D13,16,12,Train
Team1,SHIFT,D13,9,16,Inferno
Team1,SHIFT,DivisionX,16,12,Vertigo
Team1,SHIFT,DivisionX,16,14,Inferno
Team1,SHIFT,DivisionX,16,8,Train
Team1,SHIFT,DivisionX,16,8,Vertigo
Team1,SHIFT,DivisionX,5,16,Train
Team1,SHIFT,GTV.Revolution,7,16,Inferno
Team1,SHIFT,SuperOVD,16,12,Mirage
Team1,SHIFT,SuperOVD,16,13,Inferno
Team1,SHIFT,rTE,16,10,Dust2
Team1,SHIFT,rTE,16,14,Mirage
Team2,SHIFT,Beyond,13,16,Vertigo
Team2,SHIFT,Cataclysm,16,9,Nuke
Team2,SHIFT,D13,16,7,Inferno
Team2,SHIFT,DivisionX,16,8,Dust2
Team2,SHIFT,DivisionX,16,8,Inferno
Team2,SHIFT,GTV.Revolution,10,16,Mirage
Team2,SHIFT,Revolution,10,16,Dust2
