Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,SKADE,ALTERNATE aTTaX,16,11,Inferno
Team1,SKADE,AVEZ,16,14,Overpass
Team1,SKADE,AVEZ,8,16,Nuke
Team1,SKADE,Ambush,16,10,Inferno
Team1,SKADE,Ambush,16,13,Train
Team1,SKADE,Ambush,2,16,Overpass
Team1,SKADE,Ambush,22,20,Inferno
Team1,SKADE,Aristocracy,8,16,Mirage
Team1,SKADE,Brute,16,10,Inferno
Team1,SKADE,Brute,16,14,Nuke
Team1,SKADE,Endpoint,15,19,Train
Team1,SKADE,Endpoint,16,13,Overpass
Team1,SKADE,Endpoint,5,16,Inferno
Team1,SKADE,Espada,16,10,Mirage
Team1,SKADE,Espada,16,12,Mirage
Team1,SKADE,Espada,16,12,Overpass
Team1,SKADE,Espada,16,13,Overpass
Team1,SKADE,FATE,16,12,Overpass
Team1,SKADE,FATE,16,9,Mirage
Team1,SKADE,Gambit Youngsters,16,14,Dust2
Team1,SKADE,HAVU,3,16,Nuke
Team1,SKADE,HAVU,7,16,Overpass
Team1,SKADE,HAVU,8,16,Train
Team1,SKADE,HellRaisers,13,16,Nuke
Team1,SKADE,HellRaisers,16,13,Inferno
Team1,SKADE,HellRaisers,16,13,Inferno
Team1,SKADE,HellRaisers,16,13,Inferno
Team1,SKADE,HellRaisers,16,13,Inferno
Team1,SKADE,HellRaisers,16,13,Inferno
Team1,SKADE,HellRaisers,16,13,Inferno
Team1,SKADE,HellRaisers,16,13,Inferno
Team1,SKADE,HellRaisers,16,13,Inferno
Team1,SKADE,HellRaisers,16,13,Inferno
Team1,SKADE,HellRaisers,16,13,Inferno
Team1,SKADE,HellRaisers,16,13,Inferno
Team1,SKADE,HellRaisers,16,13,Inferno
Team1,SKADE,HellRaisers,16,14,Train
Team1,SKADE,Heretics,16,10,Train
Team1,SKADE,Heretics,16,13,Mirage
Team1,SKADE,Heretics,17,19,Nuke
Team1,SKADE,Heretics,8,16,Nuke
Team1,SKADE,Heroic,7,16,Nuke
Team1,SKADE,Illuminar,6,16,Mirage
Team1,SKADE,Illuminar,8,16,Nuke
Team1,SKADE,Juggernauts,16,7,Dust2
Team1,SKADE,Juggernauts,16,7,Dust2
Team1,SKADE,Juggernauts,16,7,Dust2
Team1,SKADE,Juggernauts,16,7,Dust2
Team1,SKADE,Juggernauts,16,7,Dust2
Team1,SKADE,Juggernauts,16,7,Dust2
Team1,SKADE,Juggernauts,16,7,Dust2
Team1,SKADE,Juggernauts,16,7,Dust2
Team1,SKADE,Juggernauts,16,7,Dust2
Team1,SKADE,Juggernauts,16,7,Dust2
Team1,SKADE,Juggernauts,16,7,Dust2
Team1,SKADE,Juggernauts,16,7,Dust2
Team1,SKADE,MAD Lions,14,16,Train
Team1,SKADE,MAJESTY,16,12,Dust2
Team1,SKADE,MeAndTheBoys,10,16,Inferno
Team1,SKADE,Nemiga,16,10,Nuke
Team1,SKADE,Nemiga,16,14,Dust2
Team1,SKADE,Nemiga,8,16,Mirage
Team1,SKADE,Nemiga,8,16,Nuke
Team1,SKADE,Nexus,16,13,Inferno
Team1,SKADE,Nexus,16,14,Inferno
Team1,SKADE,Nexus,16,14,Overpass
Team1,SKADE,Nordavind,16,10,Dust2
Team1,SKADE,Nordavind,16,13,Dust2
Team1,SKADE,Nordavind,16,19,Mirage
Team1,SKADE,Nordavind,16,8,Dust2
Team1,SKADE,Nordavind,19,16,Inferno
Team1,SKADE,Nordavind,19,16,Mirage
Team1,SKADE,Nordavind,6,16,Nuke
Team1,SKADE,OneThree,16,9,Overpass
Team1,SKADE,Phoenix,16,10,Inferno
Team1,SKADE,Phoenix,9,16,Mirage
Team1,SKADE,Pompa,16,3,Inferno
Team1,SKADE,Pompa,16,7,Inferno
Team1,SKADE,Pompa,16,8,Overpass
Team1,SKADE,Pompa,9,16,Train
Team1,SKADE,Prima,16,6,Inferno
Team1,SKADE,Prima,8,16,Train
Team1,SKADE,Project X,16,11,Inferno
Team1,SKADE,Salamander,16,10,Mirage
Team1,SKADE,Se7en,13,16,Nuke
Team1,SKADE,Singularity,16,10,Nuke
Team1,SKADE,Singularity,16,11,Overpass
Team1,SKADE,Singularity,16,14,Inferno
Team1,SKADE,Spirit,16,10,Overpass
Team1,SKADE,Spirit,16,14,Nuke
Team1,SKADE,TheDabers,16,10,Overpass
Team1,SKADE,Tricked,14,16,Inferno
Team1,SKADE,Tricked,14,16,Inferno
Team1,SKADE,Tricked,14,16,Nuke
Team1,SKADE,Tricked,16,12,Mirage
Team1,SKADE,Tricked,16,6,Inferno
Team1,SKADE,Tricked,16,8,Dust2
Team1,SKADE,Turkey5,16,10,Nuke
Team1,SKADE,Unique,19,16,Nuke
Team1,SKADE,Unique,5,16,Overpass
Team1,SKADE,Virtus.pro,16,14,Mirage
Team1,SKADE,Winstrike,4,16,Dust2
Team1,SKADE,Winstrike,9,16,Mirage
Team1,SKADE,pro100,16,13,Inferno
Team1,SKADE,pro100,4,16,Dust2
Team2,SKADE,ALTERNATE aTTaX,16,3,Train
Team2,SKADE,Akatsuki,16,3,Inferno
Team2,SKADE,Akatsuki,16,4,Dust2
Team2,SKADE,Aristocracy,17,19,Nuke
Team2,SKADE,CR4ZY,15,19,Nuke
Team2,SKADE,Complexity,12,16,Dust2
Team2,SKADE,Endpoint,15,19,Overpass
Team2,SKADE,Espada,17,19,Nuke
Team2,SKADE,FATE,13,16,Inferno
Team2,SKADE,FATE,14,16,Train
Team2,SKADE,FATE,16,19,Train
Team2,SKADE,GamerLegion,16,5,Inferno
Team2,SKADE,Heroic,13,16,Inferno
Team2,SKADE,Juggernauts,16,5,Nuke
Team2,SKADE,Juggernauts,16,5,Nuke
Team2,SKADE,Juggernauts,16,5,Nuke
Team2,SKADE,Juggernauts,16,5,Nuke
Team2,SKADE,Juggernauts,16,5,Nuke
Team2,SKADE,Juggernauts,16,5,Nuke
Team2,SKADE,Juggernauts,16,5,Nuke
Team2,SKADE,Juggernauts,16,5,Nuke
Team2,SKADE,Juggernauts,16,5,Nuke
Team2,SKADE,Juggernauts,16,5,Nuke
Team2,SKADE,Juggernauts,16,5,Nuke
Team2,SKADE,Juggernauts,16,5,Nuke
Team2,SKADE,MAJESTY,16,8,Train
Team2,SKADE,MeAndTheBoys,16,6,Dust2
Team2,SKADE,Nemiga,15,19,Inferno
Team2,SKADE,OG,13,16,Train
Team2,SKADE,OneThree,11,16,Inferno
Team2,SKADE,PACT,12,16,Dust2
Team2,SKADE,Phoenix,16,19,Overpass
Team2,SKADE,Phoenix,16,5,Train
Team2,SKADE,Pompa,14,16,Mirage
Team2,SKADE,Pompa,16,3,Train
Team2,SKADE,Project X,12,16,Nuke
Team2,SKADE,Salamander,12,16,Train
Team2,SKADE,Salamander,17,19,Dust2
Team2,SKADE,Se7en,16,3,Train
Team2,SKADE,Singularity,11,16,Nuke
Team2,SKADE,Sprout,11,16,Mirage
Team2,SKADE,Sprout,12,16,Inferno
Team2,SKADE,Sprout,17,19,Dust2
Team2,SKADE,Tricked,13,16,Mirage
Team2,SKADE,Tricked,14,16,Inferno
Team2,SKADE,Tricked,16,19,Nuke
Team2,SKADE,Turkey5,13,16,Dust2
