Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,SYF,Bizarre,13,16,Inferno
Team1,SYF,Buckets,16,11,Dust2
Team1,SYF,Chiefs,5,16,Train
Team1,SYF,Corvidae,10,16,Overpass
Team1,SYF,Genuine,19,16,Nuke
Team1,SYF,Genuine,2,16,Nuke
Team1,SYF,Genuine,7,16,Overpass
Team1,SYF,Genuine,9,16,Train
Team1,SYF,Ground Zero,22,19,Nuke
Team1,SYF,Monky See Monky Do,16,13,Overpass
Team1,SYF,Monky See Monky Do,5,16,Inferno
Team1,SYF,PC419,16,14,Mirage
Team1,SYF,PC419,6,16,Dust2
Team1,SYF,R!OT,16,13,Train
Team1,SYF,madlikewizards,7,16,Inferno
Team1,SYF,rewound,16,14,Mirage
Team1,SYF,unfortunate circumstances ,16,11,Mirage
Team2,SYF,Bizarre,11,16,Nuke
Team2,SYF,Bizarre,16,4,Mirage
Team2,SYF,Corvidae,12,16,Train
Team2,SYF,DINQ,16,5,Mirage
Team2,SYF,Downfall,16,6,Mirage
Team2,SYF,Genuine,10,16,Train
Team2,SYF,Paradox,12,16,Train
Team2,SYF,ZOOWEEMAMA,16,4,Mirage
Team2,SYF,ex-Genuine,11,16,Inferno
Team2,SYF,madlikewizards,16,19,Mirage
Team2,SYF,unfortunate circumstances ,16,8,Overpass
