Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Salamander,AGO,16,12,Train
Team1,Salamander,AGO,16,13,Dust2
Team1,Salamander,AGO,2,16,Dust2
Team1,Salamander,ALTERNATE aTTaX,2,16,Overpass
Team1,Salamander,Ambush,16,11,Train
Team1,Salamander,Ambush,16,12,Nuke
Team1,Salamander,Ambush,6,16,Overpass
Team1,Salamander,Budapest Five,19,15,Inferno
Team1,Salamander,Budapest Five,19,17,Mirage
Team1,Salamander,GAMERZONE,16,7,Mirage
Team1,Salamander,Hard Legion,5,16,Inferno
Team1,Salamander,Hard Legion,8,16,Train
Team1,Salamander,Juggernauts,17,19,Train
Team1,Salamander,Nexus,16,14,Inferno
Team1,Salamander,SKADE,16,10,Train
Team1,Salamander,Tricked,16,12,Mirage
Team1,Salamander,Tricked,16,12,Nuke
Team1,Salamander,Tricked,16,12,Nuke
Team1,Salamander,Tricked,16,12,Nuke
Team1,Salamander,Tricked,16,12,Nuke
Team1,Salamander,Tricked,16,12,Nuke
Team1,Salamander,Tricked,16,12,Nuke
Team1,Salamander,Tricked,16,12,Nuke
Team1,Salamander,Tricked,16,12,Nuke
Team1,Salamander,Tricked,16,12,Nuke
Team1,Salamander,Tricked,16,12,Nuke
Team1,Salamander,Tricked,16,12,Nuke
Team1,Salamander,Tricked,16,12,Nuke
Team1,Salamander,Tricked,9,16,Mirage
Team1,Salamander,Tricked,9,16,Mirage
Team1,Salamander,Tricked,9,16,Mirage
Team1,Salamander,Tricked,9,16,Mirage
Team1,Salamander,Tricked,9,16,Mirage
Team1,Salamander,Tricked,9,16,Mirage
Team1,Salamander,Tricked,9,16,Mirage
Team1,Salamander,Tricked,9,16,Mirage
Team1,Salamander,Tricked,9,16,Mirage
Team1,Salamander,Tricked,9,16,Mirage
Team1,Salamander,Tricked,9,16,Mirage
Team1,Salamander,Tricked,9,16,Mirage
Team1,Salamander,Unique,16,13,Nuke
Team1,Salamander,Unique,16,14,Train
Team1,Salamander,Unique,7,16,Train
Team1,Salamander,Vexed,16,8,Mirage
Team1,Salamander,pro100,5,16,Cache
Team1,Salamander,pullerZ,16,11,Mirage
Team1,Salamander,ttc,16,5,Nuke
Team2,Salamander,ALTERNATE aTTaX,10,16,Inferno
Team2,Salamander,ALTERNATE aTTaX,14,16,Dust2
Team2,Salamander,AVEZ,13,16,Overpass
Team2,Salamander,Ambush,16,19,Overpass
Team2,Salamander,Ambush,16,8,Train
Team2,Salamander,GAMERZONE,17,19,Train
Team2,Salamander,SKADE,14,16,Inferno
Team2,Salamander,Tricked,16,8,Train
Team2,Salamander,Unique,16,2,Mirage
Team2,Salamander,bruto500,16,7,Train
Team2,Salamander,ttc,13,16,Mirage
