Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Secret,AVEZ,8,16,Overpass
Team1,Secret,BIG,8,16,Dust2
Team1,Secret,Complexity,12,16,Nuke
Team1,Secret,Copenhagen Flames,7,16,Overpass
Team1,Secret,Endpoint,10,16,Inferno
Team1,Secret,Gambit Youngsters,16,12,Dust2
Team1,Secret,Gambit Youngsters,16,14,Mirage
Team1,Secret,Gambit Youngsters,6,16,Overpass
Team1,Secret,Hard Legion,16,12,Overpass
Team1,Secret,Hard Legion,16,4,Train
Team1,Secret,Hard Legion,6,16,Dust2
Team1,Secret,Heretics,16,11,Nuke
Team1,Secret,Heroic,11,16,Inferno
Team1,Secret,Heroic,12,16,Dust2
Team1,Secret,Illuminar,16,14,Nuke
Team1,Secret,Illuminar,16,6,Dust2
Team1,Secret,Juggernauts,16,12,Mirage
Team1,Secret,KOVA,16,12,Nuke
Team1,Secret,KOVA,25,22,Mirage
Team1,Secret,Nemiga,16,10,Inferno
Team1,Secret,Nemiga,16,10,Mirage
Team1,Secret,SJ,9,16,Nuke
Team1,Secret,Singularity,16,13,Mirage
Team1,Secret,Singularity,16,8,Inferno
Team1,Secret,Singularity,8,16,Dust2
Team1,Secret,Sinners,16,13,Mirage
Team1,Secret,Sinners,19,17,Overpass
Team1,Secret,Sinners,8,16,Nuke
Team1,Secret,sAw,16,12,Nuke
Team2,Secret,BIG,13,16,Nuke
Team2,Secret,Complexity,11,16,Train
Team2,Secret,Copenhagen Flames,10,16,Mirage
Team2,Secret,Espada,16,7,Mirage
Team2,Secret,Heretics,16,19,Nuke
Team2,Secret,Heroic,10,16,Train
Team2,Secret,SJ,14,16,Dust2
Team2,Secret,SKADE,16,9,Train
