Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Sharks,ATK,10,16,Train
Team1,Sharks,ATK,16,10,Train
Team1,Sharks,ATK,19,16,Inferno
Team1,Sharks,ATK,7,16,Inferno
Team1,Sharks,Ben's Anime Team,4,16,Inferno
Team1,Sharks,Ben's Anime Team,9,16,Nuke
Team1,Sharks,Codewise Unicorns,16,11,Nuke
Team1,Sharks,DETONA,10,16,Inferno
Team1,Sharks,DETONA,14,16,Inferno
Team1,Sharks,DETONA,16,12,Dust2
Team1,Sharks,DETONA,16,12,Vertigo
Team1,Sharks,Divine,11,16,Inferno
Team1,Sharks,Divine,19,16,Nuke
Team1,Sharks,DreamEaters,16,12,Train
Team1,Sharks,DreamEaters,8,16,Dust2
Team1,Sharks,Evidence,16,10,Inferno
Team1,Sharks,Evidence,16,9,Mirage
Team1,Sharks,Evidence,6,16,Cache
Team1,Sharks,FURIA,12,16,Train
Team1,Sharks,FURIA,4,16,Vertigo
Team1,Sharks,FURIA,9,16,Nuke
Team1,Sharks,HAVU,6,16,Train
Team1,Sharks,INTZ,13,16,Nuke
Team1,Sharks,Imperial,16,3,Nuke
Team1,Sharks,Imperial,16,6,Train
Team1,Sharks,Imperial,7,16,Dust2
Team1,Sharks,Inflames,16,12,Train
Team1,Sharks,Inflames,6,16,Inferno
Team1,Sharks,MIBR,7,16,Train
Team1,Sharks,NRG,12,16,Nuke
Team1,Sharks,NRG,5,16,Mirage
Team1,Sharks,Nemiga,9,16,Inferno
Team1,Sharks,Reapers,19,17,Inferno
Team1,Sharks,Renegades,5,16,Mirage
Team1,Sharks,Singularity,16,10,Train
Team1,Sharks,Supremacy,16,7,Train
Team1,Sharks,TeamOne,19,17,Mirage
Team1,Sharks,Tricked,10,16,Train
Team1,Sharks,Tricked,2,16,Dust2
Team1,Sharks,Turma do Pagode,16,10,Train
Team1,Sharks,Unique,14,16,Dust2
Team1,Sharks,Vega Squadron,13,16,Train
Team1,Sharks,Vega Squadron,22,19,Dust2
Team1,Sharks,Virtus.pro,19,17,Train
Team1,Sharks,Virtus.pro,8,16,Nuke
Team1,Sharks,W7M,10,16,Train
Team1,Sharks,W7M,16,11,Inferno
Team1,Sharks,W7M,16,11,Nuke
Team1,Sharks,W7M,16,5,Nuke
Team1,Sharks,W7M,9,16,Cache
Team1,Sharks,WePlayGames,16,4,Nuke
Team1,Sharks,Winstrike,16,11,Train
Team1,Sharks,Winstrike,5,16,Mirage
Team1,Sharks,eUnited,5,16,Nuke
Team1,Sharks,paiN,16,5,Nuke
Team1,Sharks,paiN,6,16,Nuke
Team1,Sharks,paiN,9,16,Dust2
Team1,Sharks,ryokas,16,1,Train
Team2,Sharks,ATK,12,16,Train
Team2,Sharks,ATK,16,9,Dust2
Team2,Sharks,DETONA,16,3,Nuke
Team2,Sharks,FURIA,13,16,Inferno
Team2,Sharks,INTZ,12,16,Mirage
Team2,Sharks,Imperial,16,8,Inferno
Team2,Sharks,MIBR,13,16,Vertigo
Team2,Sharks,NRG,10,16,Nuke
Team2,Sharks,NRG,14,16,Inferno
Team2,Sharks,Rap Gang,16,3,Train
Team2,Sharks,Rap Gang,16,5,Inferno
Team2,Sharks,Reapers,12,16,Dust2
Team2,Sharks,Reapers,16,5,Mirage
Team2,Sharks,Redemption POA,16,9,Train
Team2,Sharks,Renegades,16,7,Dust2
Team2,Sharks,Supremacy,16,8,Inferno
Team2,Sharks,Unique,15,19,Mirage
Team2,Sharks,Vega Squadron,14,16,Mirage
Team2,Sharks,Vega Squadron,16,2,Train
Team2,Sharks,Virtus.pro,14,16,Mirage
Team2,Sharks,W7M,10,16,Cache
Team2,Sharks,W7M,14,16,Cache
Team2,Sharks,WePlayGames,16,9,Mirage
Team2,Sharks,Winstrike,14,16,Dust2
Team2,Sharks,paiN,12,16,Inferno
Team2,Sharks,ryokas,16,5,Vertigo
