Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Shidiots,Ground Zero,10,16,Overpass
Team1,Shidiots,Ground Zero,7,16,Mirage
Team1,Shidiots,MARKandLARRY,16,5,Mirage
Team1,Shidiots,MARKandLARRY,16,5,Mirage
Team1,Shidiots,MARKandLARRY,16,5,Mirage
Team1,Shidiots,MARKandLARRY,16,5,Mirage
Team1,Shidiots,MARKandLARRY,16,5,Mirage
Team1,Shidiots,MARKandLARRY,16,5,Mirage
Team1,Shidiots,MARKandLARRY,16,5,Mirage
Team1,Shidiots,MARKandLARRY,16,5,Mirage
Team1,Shidiots,MARKandLARRY,16,5,Mirage
Team1,Shidiots,MARKandLARRY,16,5,Mirage
Team1,Shidiots,MARKandLARRY,16,5,Mirage
Team1,Shidiots,MARKandLARRY,16,5,Mirage
Team1,Shidiots,ex-Genuine,10,16,Inferno
Team1,Shidiots,i sleep,15,19,Inferno
Team2,Shidiots,MARKandLARRY,16,2,Inferno
Team2,Shidiots,MARKandLARRY,16,2,Inferno
Team2,Shidiots,MARKandLARRY,16,2,Inferno
Team2,Shidiots,MARKandLARRY,16,2,Inferno
Team2,Shidiots,MARKandLARRY,16,2,Inferno
Team2,Shidiots,MARKandLARRY,16,2,Inferno
Team2,Shidiots,MARKandLARRY,16,2,Inferno
Team2,Shidiots,MARKandLARRY,16,2,Inferno
Team2,Shidiots,MARKandLARRY,16,2,Inferno
Team2,Shidiots,MARKandLARRY,16,2,Inferno
Team2,Shidiots,MARKandLARRY,16,2,Inferno
Team2,Shidiots,MARKandLARRY,16,2,Inferno
Team2,Shidiots,ex-Genuine,0,16,Train
Team2,Shidiots,i sleep,10,16,Vertigo
