Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Spirit,100pinggods,16,1,Dust2
Team1,Spirit,AGF,16,11,Inferno
Team1,Spirit,AGF,16,5,Mirage
Team1,Spirit,AGO,19,16,Dust2
Team1,Spirit,AVANGAR,16,14,Mirage
Team1,Spirit,Apeks,16,5,Train
Team1,Spirit,Aristocracy,16,10,Overpass
Team1,Spirit,Aristocracy,16,11,Dust2
Team1,Spirit,BIG,10,16,Dust2
Team1,Spirit,BIG,16,10,Inferno
Team1,Spirit,BIG,16,13,Mirage
Team1,Spirit,BIG,19,15,Mirage
Team1,Spirit,Bpro,16,11,Inferno
Team1,Spirit,Copenhagen Flames,16,14,Mirage
Team1,Spirit,Demise,16,10,Inferno
Team1,Spirit,DreamEaters,14,16,Mirage
Team1,Spirit,ENCE,6,16,Inferno
Team1,Spirit,Epsilon,7,16,Mirage
Team1,Spirit,Espada,16,14,Mirage
Team1,Spirit,Espada,16,14,Nuke
Team1,Spirit,FURIA,5,16,Vertigo
Team1,Spirit,GODSENT,16,13,Overpass
Team1,Spirit,GODSENT,16,13,Train
Team1,Spirit,GODSENT,7,16,Dust2
Team1,Spirit,GODSENT,9,16,Dust2
Team1,Spirit,Gambit Youngsters,16,13,Train
Team1,Spirit,Gambit Youngsters,16,14,Mirage
Team1,Spirit,Gambit Youngsters,16,4,Mirage
Team1,Spirit,Gambit Youngsters,16,6,Dust2
Team1,Spirit,Gambit Youngsters,16,9,Dust2
Team1,Spirit,HAVU,12,16,Mirage
Team1,Spirit,HAVU,16,13,Dust2
Team1,Spirit,HAVU,16,8,Inferno
Team1,Spirit,HAVU,16,9,Mirage
Team1,Spirit,HAVU,6,16,Mirage
Team1,Spirit,HAVU,9,16,Nuke
Team1,Spirit,Heretics,8,16,Inferno
Team1,Spirit,Heroic,12,16,Mirage
Team1,Spirit,Heroic,16,14,Dust2
Team1,Spirit,Heroic,5,16,Mirage
Team1,Spirit,Heroic,5,16,Overpass
Team1,Spirit,Heroic,9,16,Overpass
Team1,Spirit,Izako Boars,16,11,Nuke
Team1,Spirit,Japaleno,19,16,Dust2
Team1,Spirit,Japaleno,19,17,Overpass
Team1,Spirit,Liquid,19,17,Nuke
Team1,Spirit,Liquid,6,16,Overpass
Team1,Spirit,Liquid,8,16,Vertigo
Team1,Spirit,Movistar Riders,16,13,Nuke
Team1,Spirit,Movistar Riders,19,16,Vertigo
Team1,Spirit,NAVI Junior,16,10,Inferno
Team1,Spirit,NAVI Junior,16,13,Dust2
Team1,Spirit,Nemiga,16,12,Dust2
Team1,Spirit,Nemiga,19,15,Mirage
Team1,Spirit,Nemiga,19,17,Inferno
Team1,Spirit,Nemiga,5,16,Inferno
Team1,Spirit,Nemiga,9,16,Inferno
Team1,Spirit,Nemiga,9,16,Nuke
Team1,Spirit,NiP,14,16,Nuke
Team1,Spirit,Phoenix,16,10,Mirage
Team1,Spirit,Riot Squad,13,16,Train
Team1,Spirit,SG.pro,16,13,Vertigo
Team1,Spirit,SG.pro,16,5,Nuke
Team1,Spirit,SJ,16,11,Dust2
Team1,Spirit,SMASH,16,5,Nuke
Team1,Spirit,SMASH,4,16,Inferno
Team1,Spirit,SMASH,7,16,Train
Team1,Spirit,Secret,9,16,Dust2
Team1,Spirit,Singularity,16,11,Inferno
Team1,Spirit,Sprout,2,16,Nuke
Team1,Spirit,Sprout,5,16,Train
Team1,Spirit,Sprout,9,16,Inferno
Team1,Spirit,Syman,16,11,Dust2
Team1,Spirit,Syman,22,18,Mirage
Team1,Spirit,Unique,16,11,Dust2
Team1,Spirit,Uruguay,16,10,Inferno
Team1,Spirit,Valiance,2,16,Dust2
Team1,Spirit,Vega Squadron,16,1,Mirage
Team1,Spirit,Vega Squadron,19,17,Inferno
Team1,Spirit,Vega Squadron,9,16,Dust2
Team1,Spirit,Virtus.pro,16,13,Inferno
Team1,Spirit,Virtus.pro,16,13,Overpass
Team1,Spirit,Virtus.pro,16,8,Train
Team1,Spirit,Virtus.pro,22,19,Overpass
Team1,Spirit,Virtus.pro,3,16,Mirage
Team1,Spirit,Virtus.pro,7,16,Dust2
Team1,Spirit,Vitality,5,16,Dust2
Team1,Spirit,Winstrike,16,14,Mirage
Team1,Spirit,Winstrike,16,6,Overpass
Team1,Spirit,expert,16,13,Inferno
Team1,Spirit,forZe,16,0,Overpass
Team1,Spirit,forZe,16,19,Overpass
Team1,Spirit,forZe,31,28,Mirage
Team1,Spirit,forZe,9,16,Vertigo
Team1,Spirit,paiN,22,18,Nuke
Team1,Spirit,pro100,12,16,Dust2
Team1,Spirit,pro100,16,13,Mirage
Team1,Spirit,pro100,16,14,Train
Team1,Spirit,x6tence Galaxy,14,16,Cache
Team1,Spirit,x6tence Galaxy,16,10,Overpass
Team2,Spirit,Apeks,16,4,Overpass
Team2,Spirit,Aristocracy,20,22,Nuke
Team2,Spirit,BIG,14,16,Dust2
Team2,Spirit,CR4ZY,11,16,Mirage
Team2,Spirit,Chaos,16,19,Vertigo
Team2,Spirit,Copenhagen Flames,12,16,Inferno
Team2,Spirit,DreamEaters,10,16,Train
