Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Station7,AA,2,16,Dust2
Team1,Station7,Bad News Bears,8,16,Inferno
Team1,Station7,Divine,16,13,Mirage
Team1,Station7,Infinity,16,13,Inferno
Team1,Station7,Mythic,16,14,Dust2
Team1,Station7,Oceanus,9,16,Nuke
Team1,Station7,RBG,22,20,Overpass
Team1,Station7,Rugratz,7,16,Overpass
Team1,Station7,TeamOne,16,10,Mirage
Team1,Station7,Thunder Logic,16,10,Nuke
Team1,Station7,Thunder Logic,2,16,Overpass
Team2,Station7,AA,16,5,Mirage
Team2,Station7,Chaos,0,16,Nuke
Team2,Station7,New England Whalers,11,16,Inferno
Team2,Station7,Recon 5,13,16,Inferno
Team2,Station7,Triumph,12,16,Overpass
