Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Syman,5balls,16,13,Train
Team1,Syman,AVANGAR,13,16,Mirage
Team1,Syman,AVANGAR,16,10,Mirage
Team1,Syman,AVANGAR,16,14,Dust2
Team1,Syman,Aristocracy,16,6,Inferno
Team1,Syman,Dignitas,8,16,Train
Team1,Syman,DreamEaters,16,11,Cache
Team1,Syman,DreamEaters,16,12,Dust2
Team1,Syman,DreamEaters,19,17,Inferno
Team1,Syman,DreamEaters,8,16,Inferno
Team1,Syman,Espada,17,19,Vertigo
Team1,Syman,Espada,19,15,Mirage
Team1,Syman,Espada,4,16,Overpass
Team1,Syman,Gambit,16,12,Train
Team1,Syman,Gambit Youngsters,16,3,Mirage
Team1,Syman,Gambit Youngsters,5,16,Mirage
Team1,Syman,Gambit Youngsters,5,16,Overpass
Team1,Syman,Gambit Youngsters,6,16,Train
Team1,Syman,HOLLYWOOD,16,11,Mirage
Team1,Syman,Hard Legion,12,16,Overpass
Team1,Syman,Hard Legion,16,12,Inferno
Team1,Syman,Hard Legion,16,14,Inferno
Team1,Syman,Heretics,16,11,Vertigo
Team1,Syman,Heretics,16,14,Dust2
Team1,Syman,Heretics,20,22,Overpass
Team1,Syman,LDLC,14,16,Nuke
Team1,Syman,Movistar Riders,13,16,Train
Team1,Syman,Movistar Riders,16,13,Mirage
Team1,Syman,Movistar Riders,16,4,Mirage
Team1,Syman,Movistar Riders,3,16,Train
Team1,Syman,Movistar Riders,6,16,Overpass
Team1,Syman,Movistar Riders,7,16,Overpass
Team1,Syman,NONAME,16,11,Mirage
Team1,Syman,NRG,4,16,Inferno
Team1,Syman,Natus Vincere,16,12,Train
Team1,Syman,Nemiga,12,16,Overpass
Team1,Syman,Nemiga,16,14,Mirage
Team1,Syman,Nemiga,16,8,Mirage
Team1,Syman,Nemiga,6,16,Overpass
Team1,Syman,Nemiga,7,16,Nuke
Team1,Syman,Nordavind,16,11,Overpass
Team1,Syman,Nordavind,16,13,Dust2
Team1,Syman,Nordavind,16,2,Mirage
Team1,Syman,Nordavind,22,20,Inferno
Team1,Syman,Nordavind,3,16,Vertigo
Team1,Syman,OG GANG SQUAD\t,13,16,Dust2
Team1,Syman,OG GANG SQUAD\t,16,12,Mirage
Team1,Syman,OneWay,16,14,Mirage
Team1,Syman,OneWay,19,16,Inferno
Team1,Syman,OneWay,6,16,Train
Team1,Syman,Project Major,16,0,Train
Team1,Syman,SJ,16,10,Inferno
Team1,Syman,SKADE,16,13,Train
Team1,Syman,SMASH,6,16,Dust2
Team1,Syman,SMASH,8,16,Train
Team1,Syman,Salamander,11,16,Mirage
Team1,Syman,Spirit,16,12,Train
Team1,Syman,Spirit,2,16,Mirage
Team1,Syman,Spirit,7,16,Mirage
Team1,Syman,Spirit,9,16,Dust2
Team1,Syman,Sprout,7,16,Mirage
Team1,Syman,Tricked,2,16,Mirage
Team1,Syman,Tricked,5,16,Inferno
Team1,Syman,Unique,16,13,Dust2
Team1,Syman,Unique,19,17,Train
Team1,Syman,Unique,9,16,Train
Team1,Syman,Winstrike,16,11,Dust2
Team1,Syman,Winstrike,16,11,Inferno
Team1,Syman,Winstrike,16,11,Overpass
Team1,Syman,Winstrike,16,11,Train
Team1,Syman,Winstrike,16,12,Mirage
Team1,Syman,Winstrike,16,5,Vertigo
Team1,Syman,bootcampPARTY,16,13,Mirage
Team1,Syman,expert,7,16,Mirage
Team1,Syman,fbg,16,12,Inferno
Team1,Syman,fbg,22,20,Dust2
Team1,Syman,forZe,13,16,Inferno
Team1,Syman,forZe,16,11,Dust2
Team1,Syman,forZe,16,8,Dust2
Team1,Syman,forZe,5,16,Dust2
Team1,Syman,forZe,6,16,Inferno
Team1,Syman,forZe,7,16,Inferno
Team1,Syman,forZe,9,16,Mirage
