Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,TRIDENT,AVANT,6,16,Train
Team1,TRIDENT,Chiefs,8,16,Train
Team1,TRIDENT,Chiefs,8,16,Train
Team1,TRIDENT,Chiefs,8,16,Train
Team1,TRIDENT,Chiefs,8,16,Train
Team1,TRIDENT,Chiefs,8,16,Train
Team1,TRIDENT,Chiefs,8,16,Train
Team1,TRIDENT,Chiefs,8,16,Train
Team1,TRIDENT,Chiefs,8,16,Train
Team1,TRIDENT,Chiefs,8,16,Train
Team1,TRIDENT,Chiefs,8,16,Train
Team1,TRIDENT,Chiefs,8,16,Train
Team1,TRIDENT,Chiefs,8,16,Train
Team1,TRIDENT,Esper,16,11,Mirage
Team1,TRIDENT,FURY,22,20,Vertigo
Team1,TRIDENT,Formidable,16,11,Dust2
Team1,TRIDENT,Genuine,9,16,Inferno
Team1,TRIDENT,MC,22,18,Dust2
Team1,TRIDENT,MC,7,16,Inferno
Team1,TRIDENT,Rooster,9,16,Mirage
Team1,TRIDENT,Skyfire,12,16,Train
Team1,TRIDENT,Skyfire,9,16,Inferno
Team1,TRIDENT,Surge,7,16,Cache
Team1,TRIDENT,Surge,8,16,Train
Team2,TRIDENT,Bizarre,11,16,Nuke
Team2,TRIDENT,Bizarre,14,16,Mirage
Team2,TRIDENT,Chiefs,14,16,Dust2
Team2,TRIDENT,Chiefs,14,16,Dust2
Team2,TRIDENT,Chiefs,14,16,Dust2
Team2,TRIDENT,Chiefs,14,16,Dust2
Team2,TRIDENT,Chiefs,14,16,Dust2
Team2,TRIDENT,Chiefs,14,16,Dust2
Team2,TRIDENT,Chiefs,14,16,Dust2
Team2,TRIDENT,Chiefs,14,16,Dust2
Team2,TRIDENT,Chiefs,14,16,Dust2
Team2,TRIDENT,Chiefs,14,16,Dust2
Team2,TRIDENT,Chiefs,14,16,Dust2
Team2,TRIDENT,Chiefs,14,16,Dust2
Team2,TRIDENT,Ferox,14,16,Overpass
Team2,TRIDENT,MC,10,16,Mirage
Team2,TRIDENT,ROCK CANDY,16,3,Mirage
Team2,TRIDENT,ex-Bizarre,11,16,Mirage
