Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,TYLOO,5POWER,13,16,Overpass
Team1,TYLOO,5POWER,16,19,Overpass
Team1,TYLOO,5POWER,16,9,Mirage
Team1,TYLOO,5POWER,19,15,Dust2
Team1,TYLOO,8EASY,16,13,Dust2
Team1,TYLOO,8EASY,19,16,Mirage
Team1,TYLOO,8EASY,9,16,Train
Team1,TYLOO,AVANGAR,14,16,Inferno
Team1,TYLOO,AVANT,16,12,Mirage
Team1,TYLOO,Alpha Red,16,10,Overpass
Team1,TYLOO,Alpha Red,16,2,Mirage
Team1,TYLOO,Alpha Red,16,5,Mirage
Team1,TYLOO,Alpha Red,16,6,Dust2
Team1,TYLOO,Alpha Red,16,8,Mirage
Team1,TYLOO,Alpha Red,8,16,Overpass
Team1,TYLOO,Aster,16,8,Overpass
Team1,TYLOO,BOOT,16,14,Mirage
Team1,TYLOO,BOOT,16,9,Overpass
Team1,TYLOO,BOOT,19,17,Vertigo
Team1,TYLOO,BTRG,16,11,Overpass
Team1,TYLOO,BTRG,16,9,Inferno
Team1,TYLOO,Bren,16,5,Mirage
Team1,TYLOO,Bren,16,7,Mirage
Team1,TYLOO,Bren,16,8,Train
Team1,TYLOO,Camel Riders,16,13,Dust2
Team1,TYLOO,Camel Riders,16,6,Mirage
Team1,TYLOO,D13,10,16,Mirage
Team1,TYLOO,EHOME,16,10,Dust2
Team1,TYLOO,EHOME,16,12,Dust2
Team1,TYLOO,EHOME,16,12,Dust2
Team1,TYLOO,EHOME,16,13,Mirage
Team1,TYLOO,EHOME,16,13,Mirage
Team1,TYLOO,EHOME,16,9,Inferno
Team1,TYLOO,EHOME,16,9,Overpass
Team1,TYLOO,ENCE,10,16,Mirage
Team1,TYLOO,FaZe,7,16,Mirage
Team1,TYLOO,G2,16,10,Dust2
Team1,TYLOO,G2,16,14,Vertigo
Team1,TYLOO,G2,3,16,Vertigo
Team1,TYLOO,G2,7,16,Cache
Team1,TYLOO,Grayhound,20,22,Train
Team1,TYLOO,Invictus,11,16,Dust2
Team1,TYLOO,Invictus,16,11,Train
Team1,TYLOO,Invictus,16,14,Dust2
Team1,TYLOO,Invictus,17,19,Overpass
Team1,TYLOO,Invictus,6,16,Mirage
Team1,TYLOO,JiJieHao,16,10,Dust2
Team1,TYLOO,Keyd,16,13,Inferno
Team1,TYLOO,Liquid,6,16,Mirage
Team1,TYLOO,Liquid,7,16,Overpass
Team1,TYLOO,Lucid Dream,16,11,Mirage
Team1,TYLOO,Lucid Dream,16,12,Train
Team1,TYLOO,Lucid Dream,16,6,Inferno
Team1,TYLOO,Lucid Dream,16,9,Inferno
Team1,TYLOO,Lynn Vision,16,10,Vertigo
Team1,TYLOO,Lynn Vision,16,8,Overpass
Team1,TYLOO,Lynn Vision,16,9,Inferno
Team1,TYLOO,Lynn Vision,22,18,Vertigo
Team1,TYLOO,MVP PK,11,16,Mirage
Team1,TYLOO,MVP PK,11,16,Overpass
Team1,TYLOO,MVP PK,16,10,Inferno
Team1,TYLOO,MVP PK,16,10,Mirage
