Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,TeamOne,ATK,16,13,Mirage
Team1,TeamOne,ATK,6,16,Overpass
Team1,TeamOne,Ascent,16,10,Nuke
Team1,TeamOne,Bad News Bears,16,11,Nuke
Team1,TeamOne,Bad News Bears,16,14,Mirage
Team1,TeamOne,Bad News Bears,19,16,Overpass
Team1,TeamOne,Bad News Bears,5,16,Inferno
Team1,TeamOne,Big Frames,16,6,Train
Team1,TeamOne,Bushido Boyz,16,13,Inferno
Team1,TeamOne,Chaos,16,13,Overpass
Team1,TeamOne,Chaos,16,13,Overpass
Team1,TeamOne,Chaos,16,13,Overpass
Team1,TeamOne,Chaos,16,13,Overpass
Team1,TeamOne,Chaos,16,13,Overpass
Team1,TeamOne,Chaos,16,13,Overpass
Team1,TeamOne,Chaos,16,13,Overpass
Team1,TeamOne,Chaos,16,13,Overpass
Team1,TeamOne,Chaos,16,13,Overpass
Team1,TeamOne,Chaos,16,13,Overpass
Team1,TeamOne,Chaos,16,13,Overpass
Team1,TeamOne,Chaos,16,13,Overpass
Team1,TeamOne,Chaos,3,16,Inferno
Team1,TeamOne,Denial,19,17,Mirage
Team1,TeamOne,Envy,14,16,Overpass
Team1,TeamOne,Envy,7,16,Inferno
Team1,TeamOne,FULL SEND,16,1,Inferno
Team1,TeamOne,FURIA,13,16,Overpass
Team1,TeamOne,FURIA,3,16,Nuke
Team1,TeamOne,FURIA,8,16,Inferno
Team1,TeamOne,FURIA,8,16,Vertigo
Team1,TeamOne,FURIA,9,16,Overpass
Team1,TeamOne,INTZ,16,7,Inferno
Team1,TeamOne,INTZ,7,16,Cache
Team1,TeamOne,INTZ,8,16,Overpass
Team1,TeamOne,Infinity,16,14,Train
Team1,TeamOne,Luminosity,16,11,Inferno
Team1,TeamOne,MASSIVEimpact,16,14,Train
Team1,TeamOne,MASSIVEimpact,19,17,Inferno
Team1,TeamOne,Mythic,16,11,Overpass
Team1,TeamOne,NRG,5,16,Inferno
Team1,TeamOne,New Identity,16,13,Train
Team1,TeamOne,New Identity,8,16,Inferno
Team1,TeamOne,Party Astronauts,16,12,Dust2
Team1,TeamOne,Party Astronauts,16,14,Vertigo
Team1,TeamOne,Polar Ace,16,10,Mirage
Team1,TeamOne,RED Canids,10,16,Nuke
Team1,TeamOne,Rap Gang,16,13,Mirage
Team1,TeamOne,Recon 5,16,0,Dust2
Team1,TeamOne,Recon 5,16,13,Inferno
Team1,TeamOne,Recon 5,9,16,Inferno
Team1,TeamOne,Riot Squad,5,16,Dust2
Team1,TeamOne,Rugratz,16,11,Overpass
Team1,TeamOne,Singularity,12,16,Nuke
Team1,TeamOne,Thunder Logic,8,16,Train
Team1,TeamOne,Triumph,11,16,Inferno
Team1,TeamOne,Triumph,16,12,Nuke
Team1,TeamOne,UP,16,9,Train
Team1,TeamOne,Win Scrims Not Matches,16,10,Train
Team1,TeamOne,Zone,22,18,Mirage
Team1,TeamOne,eUnited,13,16,Overpass
Team1,TeamOne,eUnited,16,14,Cache
Team1,TeamOne,eUnited,16,4,Inferno
Team1,TeamOne,ex-Singularity,13,16,Nuke
Team1,TeamOne,ex-eUnited,8,16,Train
Team2,TeamOne,ATK,10,16,Inferno
Team2,TeamOne,ATK,13,16,Inferno
Team2,TeamOne,ATK,16,6,Train
Team2,TeamOne,BLITZKRIEG,16,7,Inferno
Team2,TeamOne,Big Frames,16,3,Inferno
Team2,TeamOne,Big Frames,16,5,Nuke
Team2,TeamOne,Big Frames,16,6,Nuke
Team2,TeamOne,Denial,13,16,Train
Team2,TeamOne,Divine,10,16,Mirage
Team2,TeamOne,Divine,13,16,Overpass
Team2,TeamOne,FULL SEND,16,2,Dust2
Team2,TeamOne,FURIA,15,19,Train
Team2,TeamOne,Final Feature,13,16,Inferno
Team2,TeamOne,Final Feature,16,4,Inferno
Team2,TeamOne,INTZ,13,16,Mirage
Team2,TeamOne,Imperial,11,16,Overpass
Team2,TeamOne,In The Lab,16,5,Dust2
Team2,TeamOne,LiViD,16,6,Mirage
Team2,TeamOne,MAC-51,13,16,Mirage
Team2,TeamOne,MASSIVEimpact,15,19,Mirage
Team2,TeamOne,Monstars,16,7,Overpass
Team2,TeamOne,Mythic,16,8,Inferno
Team2,TeamOne,New England Whalers,12,16,Nuke
Team2,TeamOne,Oceanus,16,9,Dust2
Team2,TeamOne,Polar Ace,14,16,Mirage
Team2,TeamOne,RED Canids,11,16,Train
Team2,TeamOne,RED Canids,16,19,Mirage
Team2,TeamOne,RED Canids,16,7,Nuke
Team2,TeamOne,RED Canids,25,28,Mirage
Team2,TeamOne,Royal,13,16,Mirage
Team2,TeamOne,Rugratz,14,16,Nuke
Team2,TeamOne,Singularity,10,16,Mirage
Team2,TeamOne,Spacestation,14,16,Dust2
Team2,TeamOne,Stay Frosty,16,6,Inferno
Team2,TeamOne,The Quest,14,16,Overpass
Team2,TeamOne,The Quest,16,3,Mirage
Team2,TeamOne,UP,16,6,Dust2
Team2,TeamOne,Win Scrims Not Matches,14,16,Dust2
Team2,TeamOne,Win Scrims Not Matches,16,2,Overpass
Team2,TeamOne,Zone,16,3,Train
Team2,TeamOne,bloo,16,7,Mirage
Team2,TeamOne,iNTACT,16,9,Inferno
Team2,TeamOne,paiN,16,7,Dust2
