Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,The Quest,ATK,16,11,Inferno
Team1,The Quest,BBC,14,16,Nuke
Team1,The Quest,BLITZKRIEG,16,11,Inferno
Team1,The Quest,BLITZKRIEG,16,13,Inferno
Team1,The Quest,BLITZKRIEG,8,16,Cache
Team1,The Quest,Bad News Bears,16,13,Inferno
Team1,The Quest,Ben's Anime Team,16,14,Nuke
Team1,The Quest,Collateral,16,1,Overpass
Team1,The Quest,Glizzy Gang,16,1,Nuke
Team1,The Quest,Good Game PR,19,16,Nuke
Team1,The Quest,Hysteria,16,13,Nuke
Team1,The Quest,IdentityDisorder,16,6,Inferno
Team1,The Quest,Luminosity,12,16,Dust2
Team1,The Quest,Luminosity,7,16,Inferno
Team1,The Quest,MASSIVEimpact,11,16,Cache
Team1,The Quest,MASSIVEimpact,16,14,Inferno
Team1,The Quest,MASSIVEimpact,8,16,Overpass
Team1,The Quest,MIBR,11,16,Mirage
Team1,The Quest,MIBR,16,11,Vertigo
Team1,The Quest,Mythic,16,11,Inferno
Team1,The Quest,Mythic,16,11,Nuke
Team1,The Quest,New Identity,19,15,Dust2
Team1,The Quest,Party Astronauts,12,16,Nuke
Team1,The Quest,Party Astronauts,5,16,Overpass
Team1,The Quest,Riot Squad,16,10,Vertigo
Team1,The Quest,Riot Squad,16,13,Dust2
Team1,The Quest,Rugratz,16,11,Overpass
Team1,The Quest,Rugratz,16,12,Inferno
Team1,The Quest,Rugratz,8,16,Overpass
Team1,The Quest,Sharks,2,16,Mirage
Team1,The Quest,Thunder Logic,16,12,Dust2
Team1,The Quest,eUnited,5,16,Dust2
Team1,The Quest,eUnited,8,16,Nuke
Team2,The Quest,Ascent,10,16,Inferno
Team2,The Quest,BBC,16,4,Mirage
Team2,The Quest,Bad News Bears,12,16,Dust2
Team2,The Quest,FURIA,11,16,Mirage
Team2,The Quest,FURIA,13,16,Nuke
Team2,The Quest,Gorilla Gang,16,7,Overpass
Team2,The Quest,Hysteria,16,5,Cache
Team2,The Quest,Hysteria,16,7,Inferno
Team2,The Quest,Hysteria,16,9,Nuke
Team2,The Quest,INTZ,10,16,Overpass
Team2,The Quest,IdentityDisorder,16,3,Dust2
Team2,The Quest,Just Swing,16,4,Overpass
Team2,The Quest,Legacy of Desi Boys,16,3,Nuke
Team2,The Quest,Lowkey,16,8,Overpass
Team2,The Quest,Luminosity,11,16,Overpass
Team2,The Quest,MAC-51,16,8,Inferno
Team2,The Quest,MASSIVEimpact,16,4,Inferno
Team2,The Quest,Mythic,16,7,Dust2
Team2,The Quest,New Identity,16,4,Nuke
Team2,The Quest,Party Astronauts,14,16,Nuke
Team2,The Quest,Party Astronauts,14,16,Overpass
Team2,The Quest,Party Astronauts,16,6,Mirage
Team2,The Quest,Peeker's Advantage,16,9,Inferno
Team2,The Quest,Prospects,16,2,Nuke
Team2,The Quest,Rap Gang,16,6,Nuke
Team2,The Quest,Rap Gang,16,8,Vertigo
Team2,The Quest,Rap Gang,16,9,Overpass
Team2,The Quest,Riot Squad,12,16,Overpass
Team2,The Quest,Rugratz,16,4,Nuke
Team2,The Quest,Sharks,11,16,Nuke
Team2,The Quest,Singularity,11,16,Inferno
Team2,The Quest,Variance,11,16,Mirage
Team2,The Quest,Variance,16,2,Nuke
Team2,The Quest,Zone,11,16,Nuke
Team2,The Quest,Zone,12,16,Inferno
Team2,The Quest,fulfill,16,9,Nuke
Team2,The Quest,imperial,16,6,Inferno
Team2,The Quest,imperial,16,9,Nuke
Team2,The Quest,slashLEVEL,16,6,Inferno
