Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Tricked,3DMAX,10,16,Mirage
Team1,Tricked,3DMAX,8,16,Inferno
Team1,Tricked,AGO,16,12,Dust2
Team1,Tricked,AGO,22,20,Train
Team1,Tricked,ALTERNATE aTTaX,11,16,Mirage
Team1,Tricked,ALTERNATE aTTaX,16,7,Nuke
Team1,Tricked,ALTERNATE aTTaX,8,16,Inferno
Team1,Tricked,ALTERNATE aTTaX,8,16,Train
Team1,Tricked,ATMOS,16,12,Dust2
Team1,Tricked,ATMOS,17,19,Nuke
Team1,Tricked,AVANGAR,16,13,Inferno
Team1,Tricked,Ancient,13,16,Nuke
Team1,Tricked,Aristocracy,16,10,Nuke
Team1,Tricked,Aristocracy,16,11,Overpass
Team1,Tricked,Aristocracy,16,12,Overpass
Team1,Tricked,BIG,2,16,Dust2
Team1,Tricked,BIG,9,16,Overpass
Team1,Tricked,Budapest Five,9,16,Mirage
Team1,Tricked,CR4ZY,16,6,Vertigo
Team1,Tricked,Chaos,2,16,Train
Team1,Tricked,Codewise Unicorns,16,12,Dust2
Team1,Tricked,Copenhagen Flames,16,10,Overpass
Team1,Tricked,Copenhagen Flames,16,14,Mirage
Team1,Tricked,Copenhagen Flames,16,8,Nuke
Team1,Tricked,Dracarys,16,6,Train
Team1,Tricked,Dracarys,19,15,Mirage
Team1,Tricked,Dragons,16,14,Nuke
Team1,Tricked,DreamEaters,16,11,Dust2
Team1,Tricked,DreamEaters,16,8,Nuke
Team1,Tricked,Endpoint,16,14,Train
Team1,Tricked,Epsilon,16,11,Dust2
Team1,Tricked,Espada,10,16,Nuke
Team1,Tricked,FATE,11,16,Dust2
Team1,Tricked,FURIA,16,14,Overpass
Team1,Tricked,Gambit Youngsters,16,12,Nuke
Team1,Tricked,GamerLegion,16,10,Train
Team1,Tricked,GamerLegion,16,13,Dust2
Team1,Tricked,GamerLegion,4,16,Nuke
Team1,Tricked,GamerLegion,8,16,Mirage
Team1,Tricked,GamerLegion,9,16,Train
Team1,Tricked,Giants,16,10,Nuke
Team1,Tricked,Giants,16,10,Nuke
Team1,Tricked,Giants,16,12,Inferno
Team1,Tricked,HAVU,16,13,Train
Team1,Tricked,HAVU,6,16,Nuke
Team1,Tricked,HAVU,8,16,Dust2
Team1,Tricked,Hard Legion,16,13,Overpass
Team1,Tricked,Heroic,14,16,Dust2
Team1,Tricked,Heroic,7,16,Nuke
Team1,Tricked,Izako Boars,16,4,Mirage
Team1,Tricked,Izako Boars,16,4,Overpass
Team1,Tricked,Izako Boars,6,16,Dust2
Team1,Tricked,LDLC,16,11,Train
Team1,Tricked,Lyngby Vikings,16,7,Train
Team1,Tricked,Monolith,16,10,Train
Team1,Tricked,Monolith,2,16,Dust2
Team1,Tricked,Nemiga,16,10,Dust2
Team1,Tricked,Nemiga,16,11,Overpass
Team1,Tricked,Nemiga,16,12,Nuke
Team1,Tricked,Nemiga,16,13,Mirage
Team1,Tricked,Nemiga,16,4,Nuke
Team1,Tricked,Nemiga,19,16,Nuke
Team1,Tricked,Nemiga,3,16,Vertigo
Team1,Tricked,Nemiga,8,16,Mirage
Team1,Tricked,NoChance,14,16,Dust2
Team1,Tricked,NoChance,14,16,Overpass
Team1,Tricked,NoChance,16,13,Train
Team1,Tricked,NoChance,16,6,Train
Team1,Tricked,NoChance,2,16,Inferno
Team1,Tricked,NoChance,9,16,Dust2
Team1,Tricked,NoChance,9,16,Vertigo
Team1,Tricked,Nordavind,16,11,Nuke
Team1,Tricked,Nordavind,16,11,Overpass
Team1,Tricked,Nordavind,16,13,Nuke
Team1,Tricked,Nordavind,16,9,Nuke
Team1,Tricked,North,16,12,Nuke
Team1,Tricked,OpTic,12,16,Nuke
Team1,Tricked,PACT,16,12,Dust2
Team1,Tricked,PACT,16,14,Dust2
Team1,Tricked,PACT,16,14,Inferno
Team1,Tricked,PACT,16,9,Inferno
Team1,Tricked,PACT,19,17,Cache
Team1,Tricked,SJ,16,14,Train
Team1,Tricked,SJ,9,16,Nuke
Team1,Tricked,SKADE,10,16,Mirage
Team1,Tricked,SKADE,16,12,Nuke
Team1,Tricked,SKADE,16,14,Train
Team1,Tricked,SKADE,22,18,Nuke
Team1,Tricked,Se7en,16,11,Mirage
Team1,Tricked,Se7en,16,12,Nuke
Team1,Tricked,Singularity,16,14,Nuke
Team1,Tricked,Spirit,16,13,Train
Team1,Tricked,Sprout,16,11,Dust2
Team1,Tricked,Sprout,16,11,Inferno
Team1,Tricked,Sprout,16,13,Overpass
Team1,Tricked,Sprout,16,19,Train
Team1,Tricked,Sprout,19,22,Inferno
Team1,Tricked,Sprout,3,16,Mirage
Team1,Tricked,Sprout,8,16,Nuke
Team1,Tricked,Söderberg & Partners,16,11,Dust2
Team1,Tricked,The Final Tribe,16,7,Mirage
Team1,Tricked,Unique,16,14,Overpass
Team1,Tricked,Unique,16,9,Train
Team1,Tricked,Valiance,6,16,Train
Team1,Tricked,Valiance,8,16,Mirage
Team1,Tricked,Vexed,16,9,Inferno
Team1,Tricked,Vexed,6,16,Mirage
Team1,Tricked,Virtus.pro,16,10,Nuke
Team1,Tricked,Virtus.pro,16,14,Mirage
Team1,Tricked,Virtus.pro,16,5,Nuke
Team1,Tricked,Windigo,16,11,Dust2
Team1,Tricked,Windigo,16,11,Nuke
Team1,Tricked,Windigo,5,16,Train
Team1,Tricked,Windigo,7,16,Overpass
Team1,Tricked,Winstrike,16,11,Train
Team1,Tricked,adwokacik,14,16,Nuke
Team1,Tricked,eL'quvet,16,4,Train
Team1,Tricked,ex-3DMAX,16,10,Inferno
Team1,Tricked,ex-Fragsters,16,14,Train
Team1,Tricked,ex-Fragsters,9,16,Nuke
Team1,Tricked,expert,16,9,Inferno
Team1,Tricked,forZe,16,14,Vertigo
Team1,Tricked,forZe,7,16,Dust2
Team1,Tricked,forZe,7,16,Inferno
Team1,Tricked,forZe,9,16,Inferno
Team1,Tricked,forZe,9,16,Train
Team1,Tricked,mousesports,16,14,Nuke
Team1,Tricked,x-kom,16,12,Inferno
Team1,Tricked,x-kom,16,13,Dust2
Team1,Tricked,x6tence Galaxy,4,16,Mirage
Team1,Tricked,x6tence Galaxy,4,16,Overpass
Team2,Tricked,3DMAX,16,4,Nuke
Team2,Tricked,AGO,16,8,Mirage
Team2,Tricked,ALTERNATE aTTaX,11,16,Train
Team2,Tricked,ALTERNATE aTTaX,16,6,Train
Team2,Tricked,ALTERNATE aTTaX,16,8,Inferno
Team2,Tricked,Ambush,16,7,Overpass
Team2,Tricked,Ancient,10,16,Dust2
Team2,Tricked,Aristocracy,13,16,Train
Team2,Tricked,Aristocracy,16,9,Dust2
Team2,Tricked,Aristocracy,17,19,Dust2
Team2,Tricked,Budapest Five,16,6,Dust2
Team2,Tricked,Budapest Five,16,7,Train
Team2,Tricked,CR4ZY,16,4,Train
Team2,Tricked,CR4ZY,16,7,Dust2
