Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Triumph,Bad News Bears,20,22,Mirage
Team1,Triumph,Bad News Bears,9,16,Nuke
Team1,Triumph,Ben's Anime Team,19,17,Mirage
Team1,Triumph,Chaos,16,7,Overpass
Team1,Triumph,Chaos,19,16,Inferno
Team1,Triumph,Cloud9,16,11,Vertigo
Team1,Triumph,Cloud9,16,14,Train
Team1,Triumph,Cloud9,9,16,Inferno
Team1,Triumph,ETHEREAL,16,14,Inferno
Team1,Triumph,ETHEREAL,16,4,Nuke
Team1,Triumph,INTZ,4,16,Vertigo
Team1,Triumph,INTZ,9,16,Dust2
Team1,Triumph,Infinity,16,10,Dust2
Team1,Triumph,Just For Fun,16,7,Nuke
Team1,Triumph,LiViD,19,17,Inferno
Team1,Triumph,MAC-51,16,5,Inferno
Team1,Triumph,Mythic,16,13,Overpass
Team1,Triumph,Mythic,16,14,Overpass
Team1,Triumph,New England Whalers,6,16,Nuke
Team1,Triumph,ORDER,14,16,Nuke
Team1,Triumph,Orgless,14,16,Nuke
Team1,Triumph,Orgless,16,14,Inferno
Team1,Triumph,Orgless,6,16,Train
Team1,Triumph,Rugratz,16,12,Inferno
Team1,Triumph,Rugratz,16,13,Mirage
Team1,Triumph,Rugratz,19,15,Vertigo
Team1,Triumph,Saskatoon Warriors,16,3,Inferno
Team1,Triumph,Swole Identity,16,11,Inferno
Team1,Triumph,TGS,16,11,Nuke
Team1,Triumph,TeamOne,17,19,Mirage
Team1,Triumph,Under 21,16,14,Mirage
Team1,Triumph,Under 21,19,17,Inferno
Team1,Triumph,Under 21,19,17,Inferno
Team1,Triumph,Under 21,19,17,Inferno
Team1,Triumph,Under 21,19,17,Inferno
Team1,Triumph,Under 21,19,17,Inferno
Team1,Triumph,Under 21,19,17,Inferno
Team1,Triumph,Under 21,19,17,Inferno
Team1,Triumph,Under 21,19,17,Inferno
Team1,Triumph,Under 21,19,17,Inferno
Team1,Triumph,Under 21,19,17,Inferno
Team1,Triumph,Under 21,19,17,Inferno
Team1,Triumph,Under 21,19,17,Inferno
Team2,Triumph,100 Thieves,10,16,Dust2
Team2,Triumph,100 Thieves,10,16,Vertigo
Team2,Triumph,Bad News Bears,10,16,Inferno
Team2,Triumph,Chaos,16,8,Nuke
Team2,Triumph,Cloud9,10,16,Dust2
Team2,Triumph,Cloud9,11,16,Overpass
Team2,Triumph,Divine,16,7,Overpass
Team2,Triumph,HAVU,13,16,Mirage
Team2,Triumph,Just For Fun,16,6,Mirage
Team2,Triumph,MAC-51,16,8,Mirage
Team2,Triumph,Monstars,16,4,Overpass
Team2,Triumph,New England Whalers,16,2,Overpass
Team2,Triumph,ORDER,11,16,Inferno
Team2,Triumph,Oceanus,16,8,Nuke
Team2,Triumph,Prospects,16,9,Nuke
Team2,Triumph,Prospects,16,9,Overpass
Team2,Triumph,Saskatoon Warriors,16,9,Nuke
Team2,Triumph,TeamOne,17,19,Dust2
Team2,Triumph,Thunder Logic,16,7,Overpass
Team2,Triumph,Under 21,17,19,Vertigo
