Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Under 21,AA,16,10,Inferno
Team1,Under 21,Big Frames,7,16,Mirage
Team1,Under 21,Chaos,16,10,Nuke
Team1,Under 21,Monstars,19,15,Inferno
Team1,Under 21,Mythic,22,19,Mirage
Team1,Under 21,Polar Ace,14,16,Nuke
Team1,Under 21,Polar Ace,8,16,Inferno
Team1,Under 21,Recon 5,16,5,Inferno
Team1,Under 21,Recon 5,7,16,Nuke
Team1,Under 21,Rugratz,16,6,Inferno
Team1,Under 21,Rugratz,16,6,Inferno
Team1,Under 21,Rugratz,16,6,Inferno
Team1,Under 21,Rugratz,16,6,Inferno
Team1,Under 21,Rugratz,16,6,Inferno
Team1,Under 21,Rugratz,16,6,Inferno
Team1,Under 21,Rugratz,16,6,Inferno
Team1,Under 21,Rugratz,16,6,Inferno
Team1,Under 21,Rugratz,16,6,Inferno
Team1,Under 21,Rugratz,16,6,Inferno
Team1,Under 21,Rugratz,16,6,Inferno
Team1,Under 21,Rugratz,16,6,Inferno
Team1,Under 21,Rugratz,22,19,Train
Team1,Under 21,Rugratz,22,19,Train
Team1,Under 21,Rugratz,22,19,Train
Team1,Under 21,Rugratz,22,19,Train
Team1,Under 21,Rugratz,22,19,Train
Team1,Under 21,Rugratz,22,19,Train
Team1,Under 21,Rugratz,22,19,Train
Team1,Under 21,Rugratz,22,19,Train
Team1,Under 21,Rugratz,22,19,Train
Team1,Under 21,Rugratz,22,19,Train
Team1,Under 21,Rugratz,22,19,Train
Team1,Under 21,Rugratz,22,19,Train
Team1,Under 21,Station7,16,10,Inferno
Team1,Under 21,Swedish Canadians,13,16,Nuke
Team1,Under 21,Swedish Canadians,7,16,Mirage
Team1,Under 21,Swole Identity,16,11,Nuke
Team1,Under 21,Swole Patrol,8,16,Nuke
Team1,Under 21,TeamOne,12,16,Inferno
Team1,Under 21,TeamOne,12,16,Inferno
Team1,Under 21,TeamOne,12,16,Inferno
Team1,Under 21,TeamOne,12,16,Inferno
Team1,Under 21,TeamOne,12,16,Inferno
Team1,Under 21,TeamOne,12,16,Inferno
Team1,Under 21,TeamOne,12,16,Inferno
Team1,Under 21,TeamOne,12,16,Inferno
Team1,Under 21,TeamOne,12,16,Inferno
Team1,Under 21,TeamOne,12,16,Inferno
Team1,Under 21,TeamOne,12,16,Inferno
Team1,Under 21,TeamOne,12,16,Inferno
Team1,Under 21,TeamOne,19,16,Mirage
Team1,Under 21,TeamOne,6,16,Train
Team1,Under 21,TeamOne,6,16,Train
Team1,Under 21,TeamOne,6,16,Train
Team1,Under 21,TeamOne,6,16,Train
Team1,Under 21,TeamOne,6,16,Train
Team1,Under 21,TeamOne,6,16,Train
Team1,Under 21,TeamOne,6,16,Train
Team1,Under 21,TeamOne,6,16,Train
Team1,Under 21,TeamOne,6,16,Train
Team1,Under 21,TeamOne,6,16,Train
Team1,Under 21,TeamOne,6,16,Train
Team1,Under 21,TeamOne,6,16,Train
Team1,Under 21,Triumph,16,11,Inferno
Team1,Under 21,Way 2 French,16,1,Mirage
Team2,Under 21,Divine,16,3,Mirage
Team2,Under 21,In The Lab,16,5,Mirage
Team2,Under 21,Infinity,16,7,Mirage
Team2,Under 21,LiViD,16,9,Inferno
Team2,Under 21,New England Whalers,12,16,Nuke
Team2,Under 21,Recon 5,16,8,Nuke
Team2,Under 21,TeamOne,12,16,Nuke
