Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Unique,100pinggods,13,16,Train
Team1,Unique,100pinggods,16,14,Inferno
Team1,Unique,1WIN,16,13,Dust2
Team1,Unique,5balls,16,13,Train
Team1,Unique,AGO,16,12,Nuke
Team1,Unique,AGO,16,14,Dust2
Team1,Unique,AGO,9,16,Inferno
Team1,Unique,ALTERNATE aTTaX,16,12,Train
Team1,Unique,ALTERNATE aTTaX,4,16,Inferno
Team1,Unique,Ambush,16,8,Train
Team1,Unique,Aristocracy,6,16,Train
Team1,Unique,Chaos,3,16,Inferno
Team1,Unique,Copenhagen Flames,5,16,Train
Team1,Unique,Dracarys,16,12,Train
Team1,Unique,DreamEaters,16,13,Train
Team1,Unique,DreamEaters,16,14,Inferno
Team1,Unique,EXTREMUM,16,12,Nuke
Team1,Unique,EXTREMUM,16,8,Train
Team1,Unique,Endpoint,8,16,Mirage
Team1,Unique,Endpoint,9,16,Inferno
Team1,Unique,Espada,16,11,Train
Team1,Unique,FATE,16,3,Dust2
Team1,Unique,FATE,19,16,Overpass
Team1,Unique,Gambit Youngsters,4,16,Dust2
Team1,Unique,Giants,8,16,Dust2
Team1,Unique,HAVU,8,16,Dust2
Team1,Unique,HAVU,9,16,Dust2
Team1,Unique,HAVU,9,16,Nuke
Team1,Unique,Heretics,13,16,Dust2
Team1,Unique,HoP,25,22,Mirage
Team1,Unique,Japaleno,19,17,Train
Team1,Unique,Monolith,16,14,Train
Team1,Unique,Nemiga,16,9,Nuke
Team1,Unique,Nemiga,19,17,Dust2
Team1,Unique,Nemiga,7,16,Mirage
Team1,Unique,Nemiga,8,16,Dust2
Team1,Unique,Nemiga,8,16,Vertigo
Team1,Unique,Nemiga,9,16,Nuke
Team1,Unique,OFFSET,16,14,Nuke
Team1,Unique,OFFSET,19,17,Inferno
Team1,Unique,PACT,16,12,Train
Team1,Unique,PACT,19,17,Overpass
Team1,Unique,PACT,8,16,Inferno
Team1,Unique,PACT,9,16,Vertigo
Team1,Unique,Revolt,16,11,Dust2
Team1,Unique,Revolt,19,16,Nuke
Team1,Unique,SJ,14,16,Nuke
Team1,Unique,SJ,16,11,Mirage
Team1,Unique,SJ,16,11,Nuke
Team1,Unique,SJ,16,13,Vertigo
Team1,Unique,Salamander,8,16,Nuke
Team1,Unique,Salamander,9,16,Train
Team1,Unique,Se7en,16,13,Train
Team1,Unique,Se7en,16,14,Mirage
Team1,Unique,Se7en,19,17,Train
Team1,Unique,Secret,16,7,Nuke
Team1,Unique,Syman,13,16,Train
Team1,Unique,Syman,16,10,Inferno
Team1,Unique,Syman,19,16,Mirage
Team1,Unique,Syman,3,16,Dust2
Team1,Unique,UnlukoExpress,16,14,Mirage
Team1,Unique,Valiance,7,16,Train
Team1,Unique,Windigo,16,11,Dust2
Team1,Unique,Windigo,7,16,Mirage
Team1,Unique,Windigo Academy,9,16,Train
Team1,Unique,Winstrike,2,16,Vertigo
Team1,Unique,forZe,16,11,Dust2
Team1,Unique,forZe,5,16,Inferno
Team1,Unique,forZe,6,16,Mirage
Team1,Unique,forZe,6,16,Nuke
Team1,Unique,forZe,9,16,Dust2
Team1,Unique,forZe,9,16,Nuke
Team1,Unique,forZe,9,16,Train
Team1,Unique,pro100,2,16,Inferno
Team1,Unique,pro100,9,16,Dust2
Team1,Unique,pro100,9,16,Overpass
Team1,Unique,x-kom,16,10,Train
Team1,Unique,x6tence Galaxy,9,16,Cache
Team2,Unique,5balls,16,4,Dust2
Team2,Unique,5balls,16,8,Mirage
Team2,Unique,ARCY,13,16,Nuke
Team2,Unique,Ambush,10,16,Nuke
Team2,Unique,Chaos,11,16,Mirage
Team2,Unique,Copenhagen Flames,10,16,Nuke
Team2,Unique,Dracarys,16,4,Mirage
Team2,Unique,Espada,11,16,Overpass
Team2,Unique,HAVU,13,16,Nuke
Team2,Unique,Hard Legion,11,16,Mirage
Team2,Unique,Heretics,12,16,Nuke
Team2,Unique,Japaleno,16,6,Overpass
Team2,Unique,Juggernauts,16,3,Train
Team2,Unique,MeAndTheBoys,14,16,Dust2
Team2,Unique,Monolith,16,9,Nuke
Team2,Unique,PACT,16,3,Nuke
Team2,Unique,SKADE,15,19,Train
Team2,Unique,Salamander,11,16,Nuke
Team2,Unique,Secret,16,9,Mirage
Team2,Unique,Windigo Academy,16,7,Nuke
Team2,Unique,Winstrike,12,16,Nuke
Team2,Unique,Winstrike,16,7,Train
Team2,Unique,adwokacik,16,8,Dust2
Team2,Unique,forZe,10,16,Dust2
Team2,Unique,forZe,10,16,Inferno
Team2,Unique,forZe,12,16,Nuke
Team2,Unique,pro100,13,16,Mirage
Team2,Unique,pro100,16,4,Nuke
Team2,Unique,x6tence Galaxy,13,16,Mirage
