Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Universe,Brute,16,14,Mirage
Team1,Universe,Dark Tigers,16,13,Train
Team1,Universe,EXORS,19,17,Inferno
Team1,Universe,MoopsXD,19,16,Vertigo
Team1,Universe,eSuba,16,12,Nuke
Team1,Universe,eSuba,16,13,Overpass
Team2,Universe,Brute,19,22,Nuke
Team2,Universe,Dark Tigers,16,4,Nuke
Team2,Universe,EXORS,16,5,Mirage
Team2,Universe,Inside,13,16,Mirage
Team2,Universe,eXtatus,12,16,Mirage
Team2,Universe,eXtatus,24,28,Inferno
Team2,Universe,pharsyde,10,16,Mirage
Team2,Universe,pharsyde,12,16,Train
