Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Variance,ATK,6,16,Mirage
Team1,Variance,ATK,8,16,Inferno
Team1,Variance,BBC,16,10,Nuke
Team1,Variance,BLITZKRIEG,16,11,Train
Team1,Variance,BLITZKRIEG,19,17,Train
Team1,Variance,Big Frames,16,10,Train
Team1,Variance,Big Frames,16,12,Nuke
Team1,Variance,Black,16,13,Nuke
Team1,Variance,Bushido Boyz,16,13,Mirage
Team1,Variance,Chris and the boys,16,10,Inferno
Team1,Variance,FURIA,9,16,Overpass
Team1,Variance,Royal,16,13,Nuke
Team1,Variance,Singularity,9,16,Overpass
Team1,Variance,TeamOne,4,16,Dust2
Team1,Variance,The Quest,2,16,Overpass
Team1,Variance,Zone,3,16,Nuke
Team2,Variance,BBC,16,9,Train
Team2,Variance,BLITZKRIEG,11,16,Cache
Team2,Variance,BLITZKRIEG,15,19,Mirage
Team2,Variance,Black,10,16,Overpass
Team2,Variance,Spacestation,11,16,Mirage
Team2,Variance,TeamOne,11,16,Overpass
Team2,Variance,The Quest,16,8,Nuke
Team2,Variance,Zone,14,16,Mirage
