Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Vitality,100 Thieves,14,16,Nuke
Team1,Vitality,AGO,16,11,Cache
Team1,Vitality,ALTERNATE aTTaX,16,10,Inferno
Team1,Vitality,ALTERNATE aTTaX,16,11,Mirage
Team1,Vitality,ALTERNATE aTTaX,22,20,Dust2
Team1,Vitality,AVANGAR,16,10,Cache
Team1,Vitality,AVANGAR,16,12,Overpass
Team1,Vitality,Astralis,14,16,Dust2
Team1,Vitality,Astralis,5,16,Nuke
Team1,Vitality,Astralis,5,16,Vertigo
Team1,Vitality,Astralis,7,16,Dust2
Team1,Vitality,Astralis,8,16,Nuke
Team1,Vitality,BIG,16,11,Overpass
Team1,Vitality,Cloud9,16,14,Mirage
Team1,Vitality,Complexity,16,13,Dust2
Team1,Vitality,Complexity,16,8,Dust2
Team1,Vitality,Complexity,16,8,Nuke
Team1,Vitality,Complexity,5,16,Inferno
Team1,Vitality,Dignitas,16,11,Dust2
Team1,Vitality,Dignitas,16,13,Nuke
Team1,Vitality,EHOME,16,1,Nuke
Team1,Vitality,EHOME,16,12,Inferno
Team1,Vitality,ENCE,16,10,Dust2
Team1,Vitality,ENCE,16,10,Mirage
Team1,Vitality,ENCE,16,13,Inferno
Team1,Vitality,ENCE,16,13,Nuke
Team1,Vitality,ENCE,16,8,Overpass
Team1,Vitality,ENCE,19,17,Nuke
Team1,Vitality,ENCE,7,16,Dust2
Team1,Vitality,ENCE,8,16,Inferno
Team1,Vitality,ENCE,9,16,Mirage
Team1,Vitality,ENCE,9,16,Nuke
Team1,Vitality,FURIA,4,16,Inferno
Team1,Vitality,FURIA,8,16,Inferno
Team1,Vitality,FURIA,8,16,Nuke
Team1,Vitality,FaZe,11,16,Nuke
Team1,Vitality,FaZe,16,14,Mirage
Team1,Vitality,FaZe,6,16,Overpass
Team1,Vitality,G2,14,16,Dust2
Team1,Vitality,G2,16,14,Nuke
Team1,Vitality,G2,16,19,Overpass
Team1,Vitality,GODSENT,16,14,Vertigo
Team1,Vitality,GODSENT,16,8,Nuke
Team1,Vitality,GamerLegion,16,13,Vertigo
Team1,Vitality,GamerLegion,19,16,Overpass
Team1,Vitality,Grayhound,14,16,Overpass
Team1,Vitality,HellRaisers,16,10,Cache
Team1,Vitality,HellRaisers,16,11,Mirage
Team1,Vitality,HellRaisers,16,7,Dust2
Team1,Vitality,HellRaisers,16,7,Nuke
Team1,Vitality,Heretics,16,10,Nuke
Team1,Vitality,Heretics,16,7,Dust2
Team1,Vitality,Heroic,12,16,Dust2
Team1,Vitality,Heroic,16,12,Inferno
Team1,Vitality,Heroic,16,12,Vertigo
Team1,Vitality,Heroic,16,13,Dust2
Team1,Vitality,Heroic,16,13,Overpass
Team1,Vitality,Heroic,16,14,Inferno
Team1,Vitality,Heroic,16,8,Nuke
Team1,Vitality,Heroic,9,16,Nuke
Team1,Vitality,Liquid,16,13,Overpass
Team1,Vitality,Liquid,19,17,Dust2
Team1,Vitality,Liquid,6,16,Overpass
Team1,Vitality,Liquid,9,16,Overpass
Team1,Vitality,NRG,16,7,Mirage
Team1,Vitality,NRG,19,15,Overpass
Team1,Vitality,Natus Vincere,16,11,Dust2
Team1,Vitality,NiP,12,16,Nuke
Team1,Vitality,NiP,16,10,Nuke
Team1,Vitality,NiP,16,12,Vertigo
Team1,Vitality,NiP,16,14,Dust2
Team1,Vitality,NiP,16,14,Overpass
Team1,Vitality,NiP,16,14,Vertigo
Team1,Vitality,NiP,16,9,Nuke
Team1,Vitality,NiP,19,17,Inferno
Team1,Vitality,NiP,6,16,Overpass
