Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Warthox,Copenhagen Flames,8,16,Overpass
Team1,Warthox,Dracarys,16,11,Dust2
Team1,Warthox,Dracarys,8,16,Nuke
Team1,Warthox,Espada,16,11,Dust2
Team1,Warthox,Se7en,8,16,Inferno
Team1,Warthox,Spirit,8,16,Dust2
Team1,Warthox,Winstrike,16,14,Nuke
Team1,Warthox,Winstrike,16,14,Overpass
Team1,Warthox,Winstrike,9,16,Mirage
Team2,Warthox,Dracarys,14,16,Mirage
Team2,Warthox,Dracarys,15,19,Mirage
Team2,Warthox,Dracarys,16,9,Nuke
Team2,Warthox,DreamEaters,13,16,Inferno
Team2,Warthox,DreamEaters,14,16,Overpass
Team2,Warthox,Spirit,13,16,Vertigo
Team2,Warthox,pro100,12,16,Overpass
