Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,WePlayGames,DETONA,4,16,Nuke
Team1,WePlayGames,DETONA,6,16,Cache
Team1,WePlayGames,DETONA,9,16,Nuke
Team1,WePlayGames,Imperial,9,16,Mirage
Team1,WePlayGames,Isurus,6,16,Mirage
Team1,WePlayGames,Redemption POA,16,10,Overpass
Team1,WePlayGames,W7M,16,13,Inferno
Team1,WePlayGames,W7M,16,8,Inferno
Team1,WePlayGames,paiN,16,14,Train
Team1,WePlayGames,paiN,22,20,Inferno
Team1,WePlayGames,paiN,7,16,Overpass
Team1,WePlayGames,segura o bone,16,12,Mirage
Team2,WePlayGames,Bulldozer,16,9,Train
Team2,WePlayGames,DETONA,14,16,Cache
Team2,WePlayGames,DETONA,16,19,Inferno
Team2,WePlayGames,Evidence,13,16,Train
Team2,WePlayGames,Evidence,16,4,Inferno
Team2,WePlayGames,Evidence,16,7,Mirage
Team2,WePlayGames,INTZ.Academy,12,16,Inferno
Team2,WePlayGames,RED Canids,12,16,Train
Team2,WePlayGames,Reapers,16,7,Inferno
Team2,WePlayGames,Santos,16,9,Vertigo
Team2,WePlayGames,Turma do Pagode,16,9,Train
