Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Windigo Academy,BLUEJAYS,5,16,Inferno
Team1,Windigo Academy,Chaos,14,16,Overpass
Team1,Windigo Academy,DreamEaters,8,16,Dust2
Team1,Windigo Academy,Nemiga,16,12,Overpass
Team1,Windigo Academy,Nemiga,22,20,Inferno
Team1,Windigo Academy,Unique,4,16,Mirage
Team2,Windigo Academy,BLUEJAYS,16,19,Nuke
Team2,Windigo Academy,Chaos,14,16,Inferno
Team2,Windigo Academy,Nemiga,14,16,Dust2
Team2,Windigo Academy,Nemiga,16,7,Nuke
Team2,Windigo Academy,OwmS,12,16,Dust2
Team2,Windigo Academy,OwmS,17,19,Overpass
Team2,Windigo Academy,Sprout,10,16,Train
