Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Winstrike,AGO,12,16,Nuke
Team1,Winstrike,AGO,16,12,Dust2
Team1,Winstrike,AGO,16,13,Vertigo
Team1,Winstrike,AGO,8,16,Train
Team1,Winstrike,AVANGAR,16,14,Dust2
Team1,Winstrike,AVANGAR,16,7,Mirage
Team1,Winstrike,AVEZ,6,16,Train
Team1,Winstrike,Aristocracy,10,16,Overpass
Team1,Winstrike,Aristocracy,7,16,Nuke
Team1,Winstrike,Aristocracy,7,16,Vertigo
Team1,Winstrike,BIG,5,16,Mirage
Team1,Winstrike,BIG,8,16,Vertigo
Team1,Winstrike,Brute,16,10,Dust2
Team1,Winstrike,Chaos,16,12,Overpass
Team1,Winstrike,Copenhagen Flames,16,19,Nuke
Team1,Winstrike,ENCE,13,16,Train
Team1,Winstrike,Epsilon,14,16,Dust2
Team1,Winstrike,FURIA,4,16,Nuke
Team1,Winstrike,Gambit,16,12,Cache
Team1,Winstrike,Gambit,19,16,Dust2
Team1,Winstrike,Gambit Youngsters,9,16,Dust2
Team1,Winstrike,GamerLegion,16,11,Mirage
Team1,Winstrike,HAVU,16,6,Dust2
Team1,Winstrike,HellRaisers,19,17,Overpass
Team1,Winstrike,Illuminar,16,12,Overpass
Team1,Winstrike,NRG,9,16,Nuke
Team1,Winstrike,Nemiga,16,10,Vertigo
Team1,Winstrike,Nemiga,19,16,Vertigo
Team1,Winstrike,NoChance,11,16,Dust2
Team1,Winstrike,NoChance,11,16,Overpass
Team1,Winstrike,NoChance,16,13,Overpass
Team1,Winstrike,PACT,16,12,Vertigo
Team1,Winstrike,PACT,16,13,Vertigo
Team1,Winstrike,PACT,5,16,Inferno
Team1,Winstrike,Se7en,19,16,Nuke
Team1,Winstrike,Secret,16,10,Train
Team1,Winstrike,Sharks,16,12,Nuke
Team1,Winstrike,Spirit,16,14,Nuke
Team1,Winstrike,Spirit,9,16,Dust2
Team1,Winstrike,Sprout,16,10,Train
Team1,Winstrike,Sprout,16,11,Dust2
Team1,Winstrike,Syman,16,13,Nuke
Team1,Winstrike,Syman,16,14,Mirage
Team1,Winstrike,Tricked,16,12,Cache
Team1,Winstrike,Tricked,16,14,Nuke
Team1,Winstrike,Tricked,16,7,Dust2
Team1,Winstrike,Tricked,25,22,Nuke
Team1,Winstrike,Tricked,4,16,Mirage
Team1,Winstrike,Tricked,8,16,Dust2
Team1,Winstrike,Unique,16,0,Nuke
Team1,Winstrike,Unique,16,7,Vertigo
Team1,Winstrike,Uruguay,19,17,Dust2
Team1,Winstrike,Windigo,16,12,Overpass
Team1,Winstrike,Windigo,16,4,Mirage
Team1,Winstrike,Youngsters,16,10,Dust2
Team1,Winstrike,fnatic,16,11,Train
Team1,Winstrike,forZe,16,13,Mirage
Team1,Winstrike,forZe,16,14,Train
Team1,Winstrike,forZe,16,14,Vertigo
Team1,Winstrike,forZe,3,16,Nuke
Team1,Winstrike,m1x,16,9,Dust2
Team1,Winstrike,x-kom,11,16,Mirage
Team1,Winstrike,x-kom,5,16,Cache
Team1,Winstrike,x-kom,6,16,Mirage
Team1,Winstrike,x-kom,7,16,Nuke
Team1,Winstrike,x6tence Galaxy,16,11,Overpass
Team2,Winstrike,AGO,10,16,Dust2
Team2,Winstrike,AGO,14,16,Inferno
Team2,Winstrike,AVANGAR,12,16,Train
Team2,Winstrike,AVANGAR,14,16,Train
Team2,Winstrike,AVANGAR,14,16,Vertigo
Team2,Winstrike,AVEZ,16,5,Dust2
Team2,Winstrike,Aristocracy,16,3,Nuke
Team2,Winstrike,Epsilon,16,7,Nuke
Team2,Winstrike,FURIA,13,16,Overpass
Team2,Winstrike,FURIA,16,6,Mirage
Team2,Winstrike,Gambit,13,16,Overpass
Team2,Winstrike,Gambit Youngsters,10,16,Overpass
Team2,Winstrike,Gambit Youngsters,11,16,Mirage
Team2,Winstrike,GamerLegion,10,16,Dust2
Team2,Winstrike,HAVU,13,16,Nuke
Team2,Winstrike,HAVU,16,4,Train
Team2,Winstrike,HellRaisers,16,6,Train
Team2,Winstrike,Heretics,16,9,Nuke
Team2,Winstrike,Heretics,16,9,Vertigo
Team2,Winstrike,Heroic,17,19,Vertigo
Team2,Winstrike,Nemiga,16,5,Nuke
Team2,Winstrike,NiP,16,6,Train
Team2,Winstrike,NoChance,17,19,Train
Team2,Winstrike,PACT,16,3,Mirage
Team2,Winstrike,Se7en,14,16,Overpass
Team2,Winstrike,Se7en,16,4,Dust2
Team2,Winstrike,Secret,14,16,Mirage
Team2,Winstrike,Secret,16,5,Nuke
Team2,Winstrike,Sharks,13,16,Dust2
Team2,Winstrike,Sharks,16,7,Dust2
Team2,Winstrike,Sharks,17,19,Train
Team2,Winstrike,Spirit,11,16,Nuke
