Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,ad hoc,Broshenki,16,11,Inferno
Team1,ad hoc,Japaleno,5,16,Inferno
Team1,ad hoc,LDLC,16,10,Inferno
Team1,ad hoc,LDLC,16,14,Dust2
Team1,ad hoc,STEP,16,14,Nuke
Team1,ad hoc,Unicorns of Love,11,16,Vertigo
Team1,ad hoc,Virtus.pro,7,16,Nuke
Team1,ad hoc,Virtus.pro,9,16,Mirage
Team1,ad hoc,adwokacik,20,22,Train
Team1,ad hoc,adwokacik,5,16,Dust2
Team2,ad hoc,LDLC,17,19,Mirage
Team2,ad hoc,Unicorns of Love,12,16,Nuke
Team2,ad hoc,Youngsters,16,8,Train
