Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,devils.one,AGO,16,11,Vertigo
Team1,devils.one,AGO,19,17,Mirage
Team1,devils.one,Heroic,18,22,Nuke
Team1,devils.one,LDLC,16,14,Mirage
Team1,devils.one,NiP,19,17,Nuke
Team1,devils.one,OpTic,3,16,Nuke
Team1,devils.one,PACT,16,13,Train
Team1,devils.one,PACT,4,16,Vertigo
Team1,devils.one,Tricked,16,13,Mirage
Team1,devils.one,Windigo,16,14,Train
Team1,devils.one,ex-Fragsters,16,14,Nuke
Team1,devils.one,forZe,3,16,Dust2
Team2,devils.one,ALTERNATE aTTaX,16,7,Mirage
Team2,devils.one,GamePub,16,4,Mirage
Team2,devils.one,Nexus,16,9,Mirage
Team2,devils.one,Tricked,16,9,Overpass
Team2,devils.one,Windigo,14,16,Mirage
Team2,devils.one,forZe,12,16,Train
Team2,devils.one,forZe,16,9,Nuke
Team2,devils.one,pro100,14,16,Cache
Team2,devils.one,volgare,16,7,Train
