Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,expert,3DMAX,16,10,Inferno
Team1,expert,3DMAX,3,16,Cache
Team1,expert,AGO,13,16,Train
Team1,expert,AGO,16,10,Cache
Team1,expert,AGO,6,16,Inferno
Team1,expert,ALTERNATE aTTaX,22,20,Cache
Team1,expert,ALTERNATE aTTaX,8,16,Train
Team1,expert,AVANGAR,11,16,Inferno
Team1,expert,Akopalipsa,16,9,Train
Team1,expert,Akopalipsa,19,15,Cache
Team1,expert,Berzerk,16,11,Cache
Team1,expert,Berzerk,16,13,Nuke
Team1,expert,Chaos,11,16,Inferno
Team1,expert,Chaos,16,11,Cache
Team1,expert,Chaos,16,14,Mirage
Team1,expert,Chaos,8,16,Inferno
Team1,expert,ENCE,2,16,Dust2
Team1,expert,EURONICS,16,11,Train
Team1,expert,Espada,8,16,Overpass
Team1,expert,HAVU,16,11,Train
Team1,expert,LDLC,14,16,Inferno
Team1,expert,London,16,13,Nuke
Team1,expert,PANTHERS,16,7,Inferno
Team1,expert,Playing Ducks,19,17,Nuke
Team1,expert,Playing Ducks,3,16,Mirage
Team1,expert,SJ,16,11,Dust2
Team1,expert,SJ,16,12,Train
Team1,expert,Spirit,7,16,Inferno
Team1,expert,Sprout,11,16,Inferno
Team1,expert,Sprout,8,16,Dust2
Team1,expert,Unicorns of Love,5,16,Cache
Team1,expert,Valiance,19,17,Nuke
Team1,expert,Windigo,16,13,Cache
Team1,expert,Windigo,9,16,Train
Team1,expert,ex-3DMAX,7,16,Inferno
Team1,expert,pro100,4,16,Overpass
Team1,expert,unknown,6,16,Cache
Team1,expert,x-kom,14,16,Nuke
Team1,expert,x-kom,16,12,Inferno
Team1,expert,x-kom,8,16,Train
Team1,expert,x6tence Galaxy,16,12,Cache
Team1,expert,x6tence Galaxy,19,16,Inferno
Team2,expert,AGO,11,16,Train
Team2,expert,AVANGAR,16,8,Overpass
Team2,expert,Chaos,14,16,Mirage
Team2,expert,Chaos,16,4,Cache
Team2,expert,EURONICS,16,6,Nuke
Team2,expert,Espada,13,16,Mirage
Team2,expert,GamerLegion,11,16,Inferno
Team2,expert,HAVU,13,16,Overpass
Team2,expert,HAVU,17,19,Dust2
Team2,expert,Izako Boars,11,16,Nuke
Team2,expert,LDLC,16,7,Dust2
Team2,expert,London,14,16,Mirage
Team2,expert,Movistar Riders,12,16,Train
Team2,expert,Sprout,10,16,Train
Team2,expert,Sprout,11,16,Cache
Team2,expert,Sprout,11,16,Dust2
Team2,expert,Uruguay,11,16,Dust2
Team2,expert,Valiance,10,16,Train
Team2,expert,Virtus.pro,10,16,Mirage
Team2,expert,forZe,11,16,Nuke
Team2,expert,unknown,13,16,Train
Team2,expert,x-kom,11,16,Mirage
Team2,expert,x-kom,14,16,Cache
Team2,expert,x-kom,16,9,Nuke
