Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,i sleep,Airborne,10,16,Nuke
Team1,i sleep,Airborne,9,16,Overpass
Team1,i sleep,Paradox,16,7,Nuke
Team1,i sleep,VERTEX,2,16,Dust2
Team1,i sleep,VERTEX,4,16,Dust2
Team1,i sleep,VERTEX,6,16,Inferno
Team2,i sleep,Eimi Fukada FC,12,16,Inferno
Team2,i sleep,Eimi Fukada FC,12,16,Inferno
Team2,i sleep,Eimi Fukada FC,12,16,Inferno
Team2,i sleep,Eimi Fukada FC,12,16,Inferno
Team2,i sleep,Eimi Fukada FC,12,16,Inferno
Team2,i sleep,Eimi Fukada FC,12,16,Inferno
Team2,i sleep,Eimi Fukada FC,12,16,Inferno
Team2,i sleep,Eimi Fukada FC,12,16,Inferno
Team2,i sleep,Eimi Fukada FC,12,16,Inferno
Team2,i sleep,Eimi Fukada FC,12,16,Inferno
Team2,i sleep,Eimi Fukada FC,12,16,Inferno
Team2,i sleep,Eimi Fukada FC,12,16,Inferno
Team2,i sleep,Esper,16,7,Inferno
Team2,i sleep,Incept,16,6,Dust2
Team2,i sleep,Incept,16,8,Vertigo
Team2,i sleep,Paradox,16,8,Dust2
