Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,iNTACT,Bad News Bears,6,16,Inferno
Team1,iNTACT,Big Frames,16,11,Nuke
Team1,iNTACT,Drawn to Fulfillment,16,11,Nuke
Team1,iNTACT,Drawn to Fulfillment,16,5,Vertigo
Team1,iNTACT,FURIA,6,16,Nuke
Team1,iNTACT,Faint,16,13,Inferno
Team1,iNTACT,Final Feature,16,8,Overpass
Team1,iNTACT,Kobruh,16,12,Mirage
Team1,iNTACT,Kobruh,16,14,Overpass
Team1,iNTACT,Oceanus,16,13,Vertigo
Team1,iNTACT,Oceanus,16,14,Nuke
Team1,iNTACT,Oceanus,16,6,Inferno
Team1,iNTACT,Oceanus,6,16,Mirage
Team1,iNTACT,Oceanus,7,16,Train
Team1,iNTACT,Party Astronauts,16,10,Dust2
Team1,iNTACT,Rebirth,16,13,Nuke
Team1,iNTACT,Rebirth,16,7,Inferno
Team1,iNTACT,TeamOne,8,16,Train
Team1,iNTACT,The Fundamentals,16,12,Overpass
Team1,iNTACT,Thunder Logic,11,16,Train
Team1,iNTACT,Thunder Logic,19,17,Mirage
Team1,iNTACT,Zone,14,16,Dust2
Team2,iNTACT,Bad News Bears,16,8,Mirage
Team2,iNTACT,Big Frames,16,6,Inferno
Team2,iNTACT,Denial,16,4,Nuke
Team2,iNTACT,Faint,10,16,Nuke
Team2,iNTACT,Final Feature,16,8,Inferno
Team2,iNTACT,Forty Six and 2,16,8,Inferno
Team2,iNTACT,Ghost,11,16,Inferno
Team2,iNTACT,Luminosity,16,8,Mirage
Team2,iNTACT,MASSIVEimpact,16,6,Overpass
Team2,iNTACT,Oceanus,20,22,Nuke
Team2,iNTACT,Old Guys Club,11,16,Inferno
Team2,iNTACT,Party Astronauts,17,19,Mirage
Team2,iNTACT,Singularity,12,16,Overpass
Team2,iNTACT,TeamOne,10,16,Overpass
