Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,mousesports,100 Thieves,16,10,Inferno
Team1,mousesports,100 Thieves,8,16,Dust2
Team1,mousesports,ATK,16,6,Dust2
Team1,mousesports,AVANGAR,16,11,Dust2
Team1,mousesports,AVANGAR,16,11,Inferno
Team1,mousesports,Astralis,16,12,Nuke
Team1,mousesports,Astralis,16,14,Dust2
Team1,mousesports,Astralis,19,17,Dust2
Team1,mousesports,Astralis,3,16,Inferno
Team1,mousesports,Astralis,5,16,Inferno
Team1,mousesports,BIG,16,12,Inferno
Team1,mousesports,BIG,16,13,Train
Team1,mousesports,BIG,7,16,Dust2
Team1,mousesports,BOOT-d S ,16,6,Train
Team1,mousesports,CR4ZY,16,0,Nuke
Team1,mousesports,CR4ZY,16,10,Inferno
Team1,mousesports,CR4ZY,16,13,Train
Team1,mousesports,CR4ZY,16,5,Overpass
Team1,mousesports,Copenhagen Flames,16,14,Nuke
Team1,mousesports,E-RIVALS,16,13,Inferno
Team1,mousesports,ENCE,16,10,Train
Team1,mousesports,ENCE,16,11,Inferno
Team1,mousesports,ENCE,16,11,Inferno
Team1,mousesports,ENCE,8,16,Mirage
Team1,mousesports,Evil Geniuses,16,0,Nuke
Team1,mousesports,Evil Geniuses,16,10,Overpass
Team1,mousesports,Evil Geniuses,16,12,Train
Team1,mousesports,Evil Geniuses,16,13,Nuke
Team1,mousesports,Evil Geniuses,16,14,Overpass
Team1,mousesports,FaZe,16,14,Train
Team1,mousesports,FaZe,7,16,Train
Team1,mousesports,FaZe,9,16,Nuke
Team1,mousesports,FaZe,9,16,Train
Team1,mousesports,G2,16,11,Train
Team1,mousesports,G2,16,13,Dust2
Team1,mousesports,G2,16,14,Train
Team1,mousesports,G2,16,5,Train
Team1,mousesports,G2,2,16,Vertigo
Team1,mousesports,G2,3,16,Dust2
Team1,mousesports,G2,6,16,Inferno
Team1,mousesports,GODSENT,11,16,Train
Team1,mousesports,GamerLegion,19,15,Train
Team1,mousesports,Grayhound,16,5,Mirage
Team1,mousesports,HellRaisers,16,8,Nuke
Team1,mousesports,Invictus,16,14,Dust2
Team1,mousesports,Invictus,16,14,Train
Team1,mousesports,Liquid,14,16,Dust2
Team1,mousesports,Liquid,17,19,Nuke
Team1,mousesports,Liquid,8,16,Overpass
Team1,mousesports,MAD Lions,16,12,Nuke
Team1,mousesports,MAD Lions,16,4,Dust2
Team1,mousesports,MIBR,7,16,Vertigo
Team1,mousesports,MVP PK,16,6,Inferno
Team1,mousesports,Movistar Riders,17,19,Train
Team1,mousesports,Natus Vincere,16,14,Dust2
Team1,mousesports,Natus Vincere,16,8,Inferno
Team1,mousesports,Natus Vincere,9,16,Train
Team1,mousesports,NiP,9,16,Inferno
Team1,mousesports,NoChance,16,11,Nuke
Team1,mousesports,NoChance,6,16,Vertigo
Team1,mousesports,North,12,16,Mirage
Team1,mousesports,North,16,11,Inferno
Team1,mousesports,North,16,5,Mirage
Team1,mousesports,North,16,7,Mirage
Team1,mousesports,North,9,16,Train
Team1,mousesports,OG,16,11,Train
Team1,mousesports,OG,16,12,Dust2
Team1,mousesports,OG,16,14,Nuke
Team1,mousesports,OG,19,16,Mirage
Team1,mousesports,OG,5,16,Train
Team1,mousesports,OpTic,4,16,Dust2
Team1,mousesports,Renegades,16,8,Train
Team1,mousesports,SMASH,16,10,Vertigo
Team1,mousesports,SMASH,16,12,Dust2
Team1,mousesports,TYLOO,16,10,Dust2
Team1,mousesports,TYLOO,16,13,Train
Team1,mousesports,TYLOO,16,14,Dust2
Team1,mousesports,Tricked,22,20,Mirage
Team1,mousesports,Virtus.pro,14,16,Inferno
Team1,mousesports,Virtus.pro,16,12,Train
Team1,mousesports,Virtus.pro,16,12,Vertigo
Team1,mousesports,Virtus.pro,16,14,Train
Team1,mousesports,Virtus.pro,22,19,Dust2
Team1,mousesports,Virtus.pro,3,16,Mirage
Team1,mousesports,Vitality,12,16,Mirage
Team1,mousesports,Vitality,13,16,Dust2
Team1,mousesports,Vitality,19,16,Inferno
Team1,mousesports,Vitality,3,16,Dust2
Team1,mousesports,Windigo,16,11,Overpass
Team1,mousesports,Windigo,16,6,Nuke
Team1,mousesports,c0ntact,16,1,Train
Team1,mousesports,ex-Space Soldiers,16,10,Train
Team1,mousesports,fnatic,1,16,Nuke
Team1,mousesports,fnatic,16,10,Train
Team1,mousesports,fnatic,16,11,Inferno
Team1,mousesports,fnatic,16,13,Dust2
Team1,mousesports,fnatic,16,7,Dust2
Team1,mousesports,fnatic,19,15,Inferno
Team1,mousesports,fnatic,7,16,Nuke
Team1,mousesports,forZe,16,10,Dust2
Team1,mousesports,forZe,19,15,Mirage
