Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,x-kom,AGO,16,11,Overpass
Team1,x-kom,AGO,5,16,Dust2
Team1,x-kom,ALTERNATE aTTaX,22,19,Vertigo
Team1,x-kom,ATMOS,16,10,Overpass
Team1,x-kom,AVANGAR,16,10,Overpass
Team1,x-kom,AVANGAR,16,11,Overpass
Team1,x-kom,AVANGAR,6,16,Mirage
Team1,x-kom,AVANGAR,9,16,Cache
Team1,x-kom,CR4ZY,4,16,Vertigo
Team1,x-kom,Chaos,11,16,Vertigo
Team1,x-kom,Codewise Unicorns,16,6,Dust2
Team1,x-kom,Endpoint,16,10,Inferno
Team1,x-kom,Endpoint,16,4,Nuke
Team1,x-kom,Epsilon,9,16,Mirage
Team1,x-kom,HAVU,12,16,Mirage
Team1,x-kom,HAVU,16,13,Train
Team1,x-kom,HAVU,7,16,Nuke
Team1,x-kom,Heroic,12,16,Dust2
Team1,x-kom,MIXSQUAD,16,10,Nuke
Team1,x-kom,Nemiga,16,14,Vertigo
Team1,x-kom,NeverPlay,16,19,Overpass
Team1,x-kom,NoChance,16,10,Mirage
Team1,x-kom,NoChance,8,16,Overpass
Team1,x-kom,NoChance,9,16,Cache
Team1,x-kom,NoChance,9,16,Mirage
Team1,x-kom,PACT,16,13,Train
Team1,x-kom,Red Reserve,16,12,Overpass
Team1,x-kom,Red Reserve,16,6,Nuke
Team1,x-kom,SJ,20,22,Inferno
Team1,x-kom,SJ,7,16,Mirage
Team1,x-kom,Spirit,5,16,Inferno
Team1,x-kom,Tricked,16,11,Nuke
Team1,x-kom,Tricked,17,19,Train
Team1,x-kom,Unique,16,12,Cache
Team1,x-kom,Unique,7,16,Mirage
Team1,x-kom,Universe,16,11,Inferno
Team1,x-kom,Universe,19,17,Nuke
Team1,x-kom,Vega Squadron,16,11,Train
Team1,x-kom,Virtus.pro,9,16,Train
Team1,x-kom,Windigo,16,13,Mirage
Team1,x-kom,Winstrike,16,12,Train
Team1,x-kom,Winstrike,4,16,Overpass
Team1,x-kom,Winstrike,7,16,Nuke
Team1,x-kom,devils.one,8,16,Dust2
Team1,x-kom,ex-Fragsters,16,6,Mirage
Team1,x-kom,expert,12,16,Mirage
Team1,x-kom,forZe,5,16,Inferno
Team1,x-kom,lotb,16,12,Inferno
Team1,x-kom,lotb,16,14,Mirage
Team1,x-kom,x6tence Galaxy,14,16,Mirage
Team1,x-kom,x6tence Galaxy,25,23,Train
Team2,x-kom,AGO,16,19,Train
Team2,x-kom,ATMOS,17,19,Inferno
Team2,x-kom,AVANGAR,13,16,Mirage
Team2,x-kom,Ancient,10,16,Overpass
Team2,x-kom,Ancient,14,16,Nuke
Team2,x-kom,Chaos,10,16,Overpass
Team2,x-kom,Chaos,11,16,Inferno
Team2,x-kom,Chaos,16,8,Train
Team2,x-kom,Chaos,16,9,Inferno
Team2,x-kom,Chaos,19,22,Train
Team2,x-kom,Codewise Unicorns,16,8,Nuke
Team2,x-kom,Epsilon,10,16,Dust2
Team2,x-kom,GamerLegion,16,7,Overpass
Team2,x-kom,HAVU,16,8,Nuke
Team2,x-kom,HAVU,16,9,Overpass
Team2,x-kom,HAVU,20,22,Train
Team2,x-kom,Heroic,16,6,Inferno
Team2,x-kom,Izako Boars,16,9,Cache
Team2,x-kom,NoChance,15,19,Mirage
Team2,x-kom,PACT,16,3,Nuke
Team2,x-kom,SJ,11,16,Train
Team2,x-kom,SJ,16,4,Overpass
Team2,x-kom,SJ,16,7,Mirage
Team2,x-kom,Vega Squadron,16,5,Vertigo
Team2,x-kom,Virtus.pro,29,31,Nuke
Team2,x-kom,Winstrike,12,16,Cache
Team2,x-kom,Winstrike,16,6,Cache
Team2,x-kom,devils.one,12,16,Overpass
Team2,x-kom,forZe,11,16,Inferno
Team2,x-kom,pro100,13,16,Dust2
