Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,x6tence Galaxy,AGO,16,10,Overpass
Team1,x6tence Galaxy,AGO,16,13,Mirage
Team1,x6tence Galaxy,AVANGAR,6,16,Dust2
Team1,x6tence Galaxy,Chaos,3,16,Mirage
Team1,x6tence Galaxy,FASTLOSE,22,19,Mirage
Team1,x6tence Galaxy,Giants,16,9,Dust2
Team1,x6tence Galaxy,HAVU,16,13,Inferno
Team1,x6tence Galaxy,HAVU,5,16,Dust2
Team1,x6tence Galaxy,HAVU,6,16,Dust2
Team1,x6tence Galaxy,LDLC,14,16,Nuke
Team1,x6tence Galaxy,NoChance,6,16,Dust2
Team1,x6tence Galaxy,Red Reserve,16,12,Cache
Team1,x6tence Galaxy,Red Reserve,2,16,Mirage
Team1,x6tence Galaxy,Spirit,3,16,Mirage
Team1,x6tence Galaxy,Sprout,4,16,Cache
Team1,x6tence Galaxy,Sprout,8,16,Nuke
Team1,x6tence Galaxy,Uruguay,16,13,Mirage
Team1,x6tence Galaxy,Valiance,3,16,Mirage
Team1,x6tence Galaxy,Valiance,5,16,Nuke
Team1,x6tence Galaxy,Windigo,19,15,Overpass
Team1,x6tence Galaxy,Windigo,6,16,Dust2
Team1,x6tence Galaxy,ex-Fragsters,16,14,Inferno
Team1,x6tence Galaxy,expert,16,7,Inferno
Team1,x6tence Galaxy,forZe,10,16,Overpass
Team1,x6tence Galaxy,forZe,6,16,Mirage
Team1,x6tence Galaxy,pro100,16,10,Overpass
Team1,x6tence Galaxy,pro100,19,17,Inferno
Team1,x6tence Galaxy,pro100,9,16,Cache
Team1,x6tence Galaxy,unknown,16,7,Overpass
Team1,x6tence Galaxy,x-kom,16,1,Train
Team1,x6tence Galaxy,x-kom,4,16,Inferno
Team2,x6tence Galaxy,AVANGAR,12,16,Mirage
Team2,x6tence Galaxy,Chaos,12,16,Overpass
Team2,x6tence Galaxy,FASTLOSE,16,8,Train
Team2,x6tence Galaxy,Giants,16,8,Mirage
Team2,x6tence Galaxy,HAVU,10,16,Mirage
Team2,x6tence Galaxy,LDLC,16,8,Inferno
Team2,x6tence Galaxy,NoChance,13,16,Inferno
Team2,x6tence Galaxy,Red Reserve,13,16,Overpass
Team2,x6tence Galaxy,Red Reserve,17,19,Cache
Team2,x6tence Galaxy,Uruguay,12,16,Cache
Team2,x6tence Galaxy,Uruguay,16,7,Overpass
Team2,x6tence Galaxy,Valiance,12,16,Mirage
Team2,x6tence Galaxy,Windigo,16,6,Inferno
Team2,x6tence Galaxy,ex-Fragsters,16,19,Dust2
Team2,x6tence Galaxy,expert,14,16,Cache
Team2,x6tence Galaxy,unknown,16,3,Cache
Team2,x6tence Galaxy,x-kom,16,9,Mirage
