Date,Teams,Score,Map,Event,Series
4-1-18,"['ViCi', 'New4']","['16', '6']",Inferno,Letou Invitational,11130
4-1-18,"['Red Wolf', 'New4']","['1', '16']",Cache,Letou Invitational,11129
4-1-18,"['MVP PK', 'ex-T.O.T']","['12', '16']",Overpass,Letou Invitational,11128
4-1-18,"['ROG fl0m', 'ROG friberg']","['22', '20']",Mirage,ASUS ROG JTR Community Challenge Grand Finals 2018 ,11127
4-1-18,"['ROG friberg', 'ROG fl0m']","['16', '4']",Train,ASUS ROG JTR Community Challenge Grand Finals 2018 ,11127
4-1-18,"['ROG friberg', 'ROG fl0m']","['16', '14']",Inferno,ASUS ROG JTR Community Challenge Grand Finals 2018 ,11127
4-1-18,"['AGO', 'eXtatus']","['16', '14']",Mirage,ESEA MDL Season 26 Europe Finals,11126
4-1-18,"['AGO', 'eXtatus']","['16', '11']",Train,ESEA MDL Season 26 Europe Finals,11126
4-1-18,"['ROG SkitzMACHINE', 'ROG Pimp']","['5', '16']",Nuke,ASUS ROG JTR Community Challenge Grand Finals 2018 ,11125
4-1-18,"['ROG Pimp', 'ROG SkitzMACHINE']","['16', '8']",Overpass,ASUS ROG JTR Community Challenge Grand Finals 2018 ,11125
4-1-18,"['SoaR', 'Rise Nation']","['19', '16']",Mirage,ESEA MDL Season 26 North America Finals,11124
4-1-18,"['SoaR', 'Rise Nation']","['7', '16']",Inferno,ESEA MDL Season 26 North America Finals,11124
4-1-18,"['Rise Nation', 'SoaR']","['12', '16']",Train,ESEA MDL Season 26 North America Finals,11124
5-1-18,"['ROAR', 'MVP PK']","['13', '16']",Overpass,Daddyskins Asia Super League,11123
5-1-18,"['MVP PK', 'ROAR']","['16', '13']",Train,Daddyskins Asia Super League,11123
5-1-18,"['ViCi', 'Red Wolf']","['16', '6']",Inferno,Letou Invitational,11122
5-1-18,"['ViCi', 'Red Wolf']","['16', '4']",Cobblestone,Daddyskins Asia Super League,11121
5-1-18,"['Red Wolf', 'ViCi']","['16', '10']",Mirage,Daddyskins Asia Super League,11121
5-1-18,"['ViCi', 'Red Wolf']","['16', '8']",Inferno,Daddyskins Asia Super League,11121
5-1-18,"['Flash', 'ex-T.O.T']","['16', '9']",Cache,Letou Invitational,11120
5-1-18,"['ViCi', 'ex-T.O.T']","['16', '8']",Mirage,Letou Invitational,11119
5-1-18,"['ViCi', 'ex-T.O.T']","['16', '10']",Cobblestone,Letou Invitational,11119
5-1-18,"['Chiefs', 'AGO']","['5', '16']",Train,ESEA Season 26 MDL Global Challenge,11118
5-1-18,"['Space Soldiers', 'Rise Nation']","['16', '7']",Mirage,ESEA Season 26 MDL Global Challenge,11117
5-1-18,"['ROG nooky', 'ROG HOUNGOUNGAGNE']","['6', '16']",Train,ASUS ROG JTR Community Challenge Grand Finals 2018 ,11116
5-1-18,"['ROG nooky', 'ROG HOUNGOUNGAGNE']","['21', '25']",Cache,ASUS ROG JTR Community Challenge Grand Finals 2018 ,11116
5-1-18,"['Ghost Academy', 'SoaR']","['24', '28']",Mirage,ESEA Season 26 MDL Global Challenge,11115
5-1-18,"['eXtatus', 'GX']","['16', '11']",Cache,ESEA Season 26 MDL Global Challenge,11114
5-1-18,"['ROG IzakOOO', 'ROG strike']","['16', '9']",Train,ASUS ROG JTR Community Challenge Grand Finals 2018 ,11113
5-1-18,"['ROG IzakOOO', 'ROG strike']","['19', '17']",Mirage,ASUS ROG JTR Community Challenge Grand Finals 2018 ,11113
5-1-18,"['Space Soldiers', 'AGO']","['11', '16']",Cobblestone,ESEA Season 26 MDL Global Challenge,11112
5-1-18,"['SoaR', 'eXtatus']","['9', '16']",Train,ESEA Season 26 MDL Global Challenge,11111
6-1-18,"['Chiefs', 'Rise Nation']","['19', '17']",Overpass,ESEA Season 26 MDL Global Challenge,11110
6-1-18,"['GX', 'Ghost Academy']","['13', '16']",Mirage,ESEA Season 26 MDL Global Challenge,11109
6-1-18,"['ROAR', 'Red Wolf']","['8', '16']",Cache,Daddyskins Asia Super League,11108
6-1-18,"['ROAR', 'Red Wolf']","['5', '16']",Mirage,Daddyskins Asia Super League,11108
6-1-18,"['ViCi', 'MVP PK']","['12', '16']",Overpass,Daddyskins Asia Super League,11107
6-1-18,"['MVP PK', 'ViCi']","['6', '16']",Inferno,Daddyskins Asia Super League,11107
6-1-18,"['ViCi', 'MVP PK']","['9', '16']",Train,Daddyskins Asia Super League,11107
6-1-18,"['New4', 'ViCi']","['9', '16']",Inferno,Letou Invitational,11106
6-1-18,"['ViCi', 'New4']","['13', '16']",Mirage,Letou Invitational,11106
6-1-18,"['New4', 'ViCi']","['13', '16']",Train,Letou Invitational,11106
6-1-18,"['Chiefs', 'Space Soldiers']","['9', '16']",Cobblestone,ESEA Season 26 MDL Global Challenge,11105
6-1-18,"['ROG friberg', 'ROG Pimp']","['16', '5']",Train,ASUS ROG JTR Community Challenge Grand Finals 2018 ,11104
6-1-18,"['ROG Pimp', 'ROG friberg']","['14', '16']",Overpass,ASUS ROG JTR Community Challenge Grand Finals 2018 ,11104
6-1-18,"['SoaR', 'Ghost Academy']","['19', '22']",Inferno,ESEA Season 26 MDL Global Challenge,11103
6-1-18,"['eXtatus', 'Space Soldiers']","['16', '12']",Overpass,ESEA Season 26 MDL Global Challenge,11102
6-1-18,"['eXtatus', 'Space Soldiers']","['9', '16']",Mirage,ESEA Season 26 MDL Global Challenge,11102
6-1-18,"['Space Soldiers', 'eXtatus']","['16', '13']",Inferno,ESEA Season 26 MDL Global Challenge,11102
6-1-18,"['ROG HOUNGOUNGAGNE', 'ROG IzakOOO']","['6', '16']",Train,ASUS ROG JTR Community Challenge Grand Finals 2018 ,11101
