Date,Team1,Team2,Score,Map,Event,Series
4-1-19,"['PACT', 'mhL', 'Vegi', 'darko', 'Miki', 'Sidney']","['x-kom', 'Goofy', 'oskarish', 'jedqr', 'STOMP', 'mono']","['11', '16']",Inferno,Pixel.bet Brawl: Nordic vs. Europe,8332
4-1-19,"['PACT', 'mhL', 'Vegi', 'Sidney', 'Miki', 'darko']","['x-kom', 'STOMP', 'Goofy', 'mono', 'jedqr', 'oskarish']","['16', '9']",Mirage,Pixel.bet Brawl: Nordic vs. Europe,8332
4-1-19,"['ROG SPUNJ', 'Misfit', 'SPUNJ', 'pl1xx', 'Rgpenguin', 'Riko']","['ROG HenryG', 'HenryG', 'Russ', 'isk', 'tudsoN', 'Jak3y']","['8', '16']",Dust2,ASUS ROG JTR Community Challenge Grand Finals 2019,8331
4-1-19,"['ROG pronax', 'Ex6poN', 'pronax', 'DH', 'Mazzo', 'walterP']","['ROG IzakOOO', 'saju', 'Sobol', 'Zorineq', 'hades', 'izak']","['16', '10']",Mirage,ASUS ROG JTR Community Challenge Grand Finals 2019,8330
4-1-19,"['ROG nooky', 's1las', 'devraNN', 'delkore', 'nooky', 'ser']","['ROG ceh9', '1mpala', 'iDISBALANCE', 'Art1st', 'fostar', 'ceh9']","['16', '8']",Cache,ASUS ROG JTR Community Challenge Grand Finals 2019,8329
4-1-19,"['ROG fl0m', 'fl0m', 'Jerk', 'retrQ', 'WolfY', 'verde-']","['ROG HOUNGOUNGAGNE', 'HOUNGOUNGAGNE', 'AlluM3tt3', 'misutaaa', 'MIMII ', 'bramz']","['7', '16']",Overpass,ASUS ROG JTR Community Challenge Grand Finals 2019,8328
5-1-19,"['ROG SPUNJ', 'Riko', 'pl1xx', 'Misfit', 'SPUNJ', 'Rgpenguin']","['ROG nooky', 'devraNN', 'nooky', 'ser', 'delkore', 's1las']","['16', '5']",Mirage,ASUS ROG JTR Community Challenge Grand Finals 2019,8327
5-1-19,"['ROG SPUNJ', 'pl1xx', 'Misfit', 'SPUNJ', 'Riko', 'Rgpenguin']","['ROG nooky', 'ser', 's1las', 'nooky', 'delkore', 'devraNN']","['16', '8']",Inferno,ASUS ROG JTR Community Challenge Grand Finals 2019,8327
5-1-19,"['ROG pronax', 'pronax', 'DH', 'Mazzo', 'Ex6poN', 'walterP']","['ROG fl0m', 'WolfY', 'fl0m', 'retrQ', 'verde-', 'Jerk']","['16', '10']",Train,ASUS ROG JTR Community Challenge Grand Finals 2019,8326
5-1-19,"['ROG pronax', 'pronax', 'walterP', 'DH', 'Ex6poN', 'Mazzo']","['ROG fl0m', 'Jerk', 'fl0m', 'verde-', 'WolfY', 'retrQ']","['16', '3']",Inferno,ASUS ROG JTR Community Challenge Grand Finals 2019,8326
5-1-19,"['ROG pronax', 'DH', 'pronax', 'Mazzo', 'Ex6poN', 'walterP']","['ROG fl0m', 'WolfY', 'retrQ', 'fl0m', 'Jerk', 'verde-']","['16', '12']",Overpass,ASUS ROG JTR Community Challenge Grand Finals 2019,8326
5-1-19,"['London', 'ec1s', 'frei', 'ardiis', 'Astroo', 'soulcas']","['CeX', 'znx', 'JamesBT', 'Nukeddog', 'resu', 'LS']","['8', '16']",Overpass,ESL Premiership Winter 2018 Finals,8325
5-1-19,"['London', 'soulcas', 'Astroo', 'frei', 'ec1s', 'ardiis']","['CeX', 'znx', 'JamesBT', 'Nukeddog', 'LS', 'resu']","['3', '16']",Inferno,ESL Premiership Winter 2018 Finals,8325
5-1-19,"['London', 'soulcas', 'ec1s', 'frei', 'ardiis', 'Astroo']","['CeX', 'znx', 'Nukeddog', 'LS', 'JamesBT', 'resu']","['16', '14']",Dust2,ESL Premiership Winter 2018 Finals,8325
5-1-19,"['ROG HenryG', 'Russ', 'tudsoN', 'Jak3y', 'isk', 'HenryG']","['ROG ceh9', '1mpala', 'iDISBALANCE', 'ceh9', 'Art1st', 'fostar']","['19', '22']",Cache,ASUS ROG JTR Community Challenge Grand Finals 2019,8324
5-1-19,"['Endpoint', 'robiin', 'Luzuh', 'Puls3', 'Thomas', 'MiGHTYMAX']","['Orgles5', 'Adam9130', 'mezii', 'Kray', 'Frazehh', 'Jackinho']","['16', '9']",Mirage,ESL Premiership Winter 2018 Finals,8323
5-1-19,"['Endpoint', 'robiin', 'MiGHTYMAX', 'Puls3', 'Luzuh', 'Thomas']","['Orgles5', 'mezii', 'Kray', 'Frazehh', 'Jackinho', 'Adam9130']","['11', '16']",Overpass,ESL Premiership Winter 2018 Finals,8323
5-1-19,"['ROG IzakOOO', 'Sobol', 'saju', 'hades', 'Zorineq', 'izak']","['ROG HOUNGOUNGAGNE', 'misutaaa', 'HOUNGOUNGAGNE', 'bramz', 'MIMII ', 'AlluM3tt3']","['16', '14']",Dust2,ASUS ROG JTR Community Challenge Grand Finals 2019,8322
5-1-19,"['London', 'frei', 'ardiis', 'Astroo', 'ec1s', 'soulcas']","['Endpoint', 'Puls3', 'robiin', 'MiGHTYMAX', 'Thomas', 'Luzuh']","['14', '16']",Overpass,ESL Premiership Winter 2018 Finals,8321
5-1-19,"['London', 'frei', 'soulcas', 'ec1s', 'ardiis', 'Astroo']","['Endpoint', 'robiin', 'Thomas', 'Puls3', 'Luzuh', 'MiGHTYMAX']","['8', '16']",Inferno,ESL Premiership Winter 2018 Finals,8321
5-1-19,"['London', 'ardiis', 'frei', 'soulcas', 'ec1s', 'Astroo']","['Endpoint', 'robiin', 'Thomas', 'Puls3', 'Luzuh', 'MiGHTYMAX']","['16', '7']",Mirage,ESL Premiership Winter 2018 Finals,8321
5-1-19,"['ROG nooky', 'devraNN', 'nooky', 'delkore', 's1las', 'ser']","['ROG HenryG', 'isk', 'Russ', 'tudsoN', 'HenryG', 'Jak3y']","['16', '14']",Dust2,ASUS ROG JTR Community Challenge Grand Finals 2019,8320
5-1-19,"['ROG nooky', 'ser', 'devraNN', 'delkore', 'nooky', 's1las']","['ROG HenryG', 'tudsoN', 'Russ', 'isk', 'Jak3y', 'HenryG']","['9', '16']",Inferno,ASUS ROG JTR Community Challenge Grand Finals 2019,8320
5-1-19,"['ROG nooky', 'devraNN', 'nooky', 's1las', 'delkore', 'ser']","['ROG HenryG', 'Russ', 'tudsoN', 'isk', 'HenryG', 'Jak3y']","['20', '22']",Cache,ASUS ROG JTR Community Challenge Grand Finals 2019,8320
6-1-19,"['ROG fl0m', 'fl0m', 'WolfY', 'retrQ', 'Jerk', 'verde-']","['ROG IzakOOO', 'Zorineq', 'hades', 'saju', 'Sobol', 'izak']","['16', '3']",Train,ASUS ROG JTR Community Challenge Grand Finals 2019,8319
6-1-19,"['ROG fl0m', 'Jerk', 'fl0m', 'WolfY', 'verde-', 'retrQ']","['ROG IzakOOO', 'hades', 'Zorineq', 'Sobol', 'izak', 'saju']","['16', '14']",Inferno,ASUS ROG JTR Community Challenge Grand Finals 2019,8319
6-1-19,"['ROG HOUNGOUNGAGNE', 'misutaaa', 'AlluM3tt3', 'HOUNGOUNGAGNE', 'bramz', 'MIMII ']","['ROG HenryG', 'Jak3y', 'tudsoN', 'isk', 'Russ', 'HenryG']","['16', '11']",Dust2,ASUS ROG JTR Community Challenge Grand Finals 2019,8318
6-1-19,"['ROG HOUNGOUNGAGNE', 'misutaaa', 'HOUNGOUNGAGNE', 'AlluM3tt3', 'bramz', 'MIMII ']","['ROG HenryG', 'isk', 'tudsoN', 'Jak3y', 'HenryG', 'Russ']","['16', '6']",Inferno,ASUS ROG JTR Community Challenge Grand Finals 2019,8318
6-1-19,"['ROG HOUNGOUNGAGNE', 'misutaaa', 'bramz', 'MIMII ', 'AlluM3tt3', 'HOUNGOUNGAGNE']","['ROG HenryG', 'tudsoN', 'isk', 'Russ', 'Jak3y', 'HenryG']","['16', '13']",Mirage,ASUS ROG JTR Community Challenge Grand Finals 2019,8318
6-1-19,"['ROG ceh9', 'iDISBALANCE', '1mpala', 'Art1st', 'fostar', 'ceh9']","['ROG IzakOOO', 'Sobol', 'hades', 'Zorineq', 'saju', 'izak']","['16', '4']",Nuke,ASUS ROG JTR Community Challenge Grand Finals 2019,8317
6-1-19,"['ROG ceh9', '1mpala', 'iDISBALANCE', 'Art1st', 'fostar', 'ceh9']","['ROG IzakOOO', 'Zorineq', 'hades', 'Sobol', 'izak', 'saju']","['16', '5']",Overpass,ASUS ROG JTR Community Challenge Grand Finals 2019,8317
7-1-19,"['AGO', 'kaper', 'Furlan', 'phr', 'SZPERO', 'GruBy']","['expert', 'Andyy', 'ScrunK', 'alexRr', 'syken', 'JDC']","['6', '16']",Inferno,United Masters League,8316
7-1-19,"['AGO', 'SZPERO', 'phr', 'Furlan', 'kaper', 'GruBy']","['expert', 'Andyy', 'JDC', 'syken', 'alexRr', 'ScrunK']","['16', '13']",Train,United Masters League,8316
7-1-19,"['GUNRUNNERS', 'frozen', 'ZEDKO', 'queztone', 'The eLiVe', 'DEV7L']","['cats', 'jOELZ', 'juho', 'stark', 'Patitek', 'pounh']","['8', '16']",Mirage,Pixel.bet Brawl: Nordic vs. Europe,8315
7-1-19,"['GUNRUNNERS', 'frozen', 'The eLiVe', 'queztone', 'DEV7L', 'ZEDKO']","['cats', 'jOELZ', 'juho', 'Patitek', 'stark', 'pounh']","['12', '16']",Inferno,Pixel.bet Brawl: Nordic vs. Europe,8315
7-1-19,"['GUNRUNNERS', 'The eLiVe', 'frozen', 'queztone', 'ZEDKO', 'DEV7L']","['cats', 'pounh', 'jOELZ', 'Patitek', 'juho', 'stark']","['11', '16']",Cache,Pixel.bet Brawl: Nordic vs. Europe,8315
7-1-19,"['ROG HenryG', 'tudsoN', 'Russ', 'Jak3y', 'isk', 'HenryG']","['ROG IzakOOO', 'hades', 'Zorineq', 'Sobol', 'izak', 'saju']","['16', '10']",Inferno,ASUS ROG JTR Community Challenge Grand Finals 2019,8314
7-1-19,"['ROG HenryG', 'tudsoN', 'Russ', 'isk', 'Jak3y', 'HenryG']","['ROG IzakOOO', 'saju', 'Sobol', 'Zorineq', 'hades', 'izak']","['16', '11']",Nuke,ASUS ROG JTR Community Challenge Grand Finals 2019,8314
7-1-19,"['ALTERNATE aTTaX', 'slaxz-', 'stfN', 'mantuu', 'kressy', 'DuDe']","['HAVU', 'sAw', 'Twixie', 'ZOREE', 'disturbed', 'zehN']","['4', '16']",Cache,United Masters League,8313
7-1-19,"['ALTERNATE aTTaX', 'slaxz-', 'kressy', 'mantuu', 'stfN', 'DuDe']","['HAVU', 'Twixie', 'ZOREE', 'zehN', 'sAw', 'disturbed']","['9', '16']",Train,United Masters League,8313
8-1-19,"['Vega Squadron', 'jR', 'crush', 'hutji', 'tonyblack', 'chopper']","['ViCi', 'Freeman', 'advent', 'aumaN', 'Kaze', 'zhokiNg']","['16', '19']",Inferno,Hunt Wave League,8312
8-1-19,"['AGO', 'phr', 'SZPERO', 'GruBy', 'kaper', 'Furlan']","['NeverPlay', 'crisby', 'DeniMM', 'maRky', 'Kirby', 'kzy']","['16', '10']",Inferno,Hunt Wave League,8311
8-1-19,"['3DMAX', 'hAdji', 'JiNKZ', 'Davidp', 'Maka', 'DEVIL']","['expert', 'ScrunK', 'alexRr', 'Andyy', 'JDC', 'syken']","['16', '10']",Inferno,United Masters League,8310
8-1-19,"['3DMAX', 'DEVIL', 'hAdji', 'Maka', 'JiNKZ', 'Davidp']","['expert', 'syken', 'Andyy', 'JDC', 'ScrunK', 'alexRr']","['16', '3']",Cache,United Masters League,8310
8-1-19,"['Chaos', 'Relaxa', 'PlesseN', 'minio', 'djL', 'FREDDyFROG']","['x-kom', 'oskarish', 'STOMP', 'mono', 'jedqr', 'Goofy']","['11', '16']",Inferno,Hunt Wave League,8309
8-1-19,"['Bpro', 'Zix', 'niki1', 'Rock1nG', 'dennyslaw', 'NK4Y']","['Spirit', 'COLDYY1', 'sdy', 'S0tF1k', 'DavCost', 'Dima']","['16', '11']",Inferno,ESEA MDL Season 29 Europe Relegation,8308
8-1-19,"['Izako Boars', 'tecek', 'Patitek', 'matty', 'nawrot', 'NEEX']","['Tricked', 'acoR', 'snedker', 'glace', 'b0RUP', 'Lukki']","['6', '16']",Dust2,ESEA MDL Season 29 Europe Relegation,8307
