Winner,Team1,T1_Player1,T1_Player2,T1_Player3,T1_Player4,T1_Player5,Team2,T2_Player1,T2_Player2,T2_Player3,T2_Player4,T2_Player5,Team1_Score,Team2_Score,Map
New4,ViCi,HZ,Freeman,Savage,advent,zhokiNg,New4,Drea3er,Jewelry,0i,gas,xiaosaGe,Inferno
eXtatus,eXtatus,frozen,MonttY,queztone,ZEDKO,DEV7L,AGO,Furlan,TOAO,snatchie,phr,GruBy,Mirage
eXtatus,eXtatus,ZEDKO,DEV7L,frozen,queztone,MonttY,AGO,Furlan,phr,GruBy,snatchie,TOAO,Train
ViCi,Red Wolf,WyCloud,DeStRoYeR,Lieu,Mumu,Searph,ViCi,Freeman,advent,zhokiNg,HZ,Savage,Inferno
Red Wolf,ViCi,Freeman,HZ,advent,zhokiNg,Savage,Red Wolf,DeStRoYeR,Searph,Lieu,WyCloud,Mumu,Cobblestone
ViCi,ViCi,Freeman,zhokiNg,HZ,advent,Savage,Red Wolf,DeStRoYeR,Mumu,Searph,Lieu,WyCloud,Mirage
Red Wolf,ViCi,Freeman,HZ,zhokiNg,Savage,advent,Red Wolf,Lieu,Searph,Mumu,WyCloud,DeStRoYeR,Inferno
ex-T.O.T,ViCi,zhokiNg,Freeman,HZ,Savage,advent,ex-T.O.T,Supreme,Ar,gakki,Cate,arteezy,Mirage
ViCi,ViCi,advent,Freeman,zhokiNg,HZ,Savage,ex-T.O.T,Supreme,Ar,Cate,arteezy,gakki,Cobblestone
Chiefs,Chiefs,malta,aliStair,tucks,pecks,INS,AGO,GruBy,Furlan,snatchie,phr,TOAO,Train
Space Soldiers,AGO,GruBy,Furlan,snatchie,phr,TOAO,Space Soldiers,XANTARES,Calyx,paz,MAJ3R,ngiN,Cobblestone
ViCi,MVP PK,glow,HSK,XigN,solo,zeff,ViCi,zhokiNg,HZ,Freeman,Savage,advent,Overpass
MVP PK,MVP PK,XigN,glow,solo,HSK,zeff,ViCi,Freeman,zhokiNg,HZ,Savage,advent,Inferno
MVP PK,MVP PK,HSK,zeff,XigN,solo,glow,ViCi,Freeman,HZ,zhokiNg,Savage,advent,Train
ViCi,ViCi,Freeman,Savage,HZ,zhokiNg,advent,New4,xiaosaGe,gas,Drea3er,Jewelry,0i,Inferno
New4,ViCi,Freeman,zhokiNg,advent,Savage,HZ,New4,Drea3er,xiaosaGe,Jewelry,gas,0i,Mirage
New4,ViCi,HZ,zhokiNg,Freeman,Savage,advent,New4,xiaosaGe,0i,Drea3er,gas,Jewelry,Train
Ghost Academy,AGO,GruBy,Furlan,TOAO,snatchie,phr,Ghost Academy,Douglas,neptune,ShoT_UP,MAKKA,Oderus,Train
AGO,AGO,snatchie,GruBy,Furlan,phr,TOAO,Ghost Academy,Douglas,neptune,ShoT_UP,MAKKA,Oderus,Overpass
XCN,MVP PK,HSK,XigN,glow,solo,zeff,XCN,scRiN,wnd,bali,kr0,blaZek1ng,Nuke
Space Soldiers,Space Soldiers,XANTARES,paz,ngiN,Calyx,MAJ3R,AGO,TOAO,Furlan,GruBy,snatchie,phr,Mirage
AGO,Space Soldiers,Calyx,XANTARES,paz,MAJ3R,ngiN,AGO,snatchie,phr,Furlan,TOAO,GruBy,Train
Natus Vincere,Space Soldiers,ngiN,XANTARES,paz,Calyx,MAJ3R,Natus Vincere,electronic,Edward,s1mple,Zeus,flamie,Inferno
Natus Vincere,Space Soldiers,MAJ3R,XANTARES,ngiN,Calyx,paz,Natus Vincere,s1mple,Edward,flamie,Zeus,electronic,Mirage
Natus Vincere,Space Soldiers,paz,MAJ3R,Calyx,XANTARES,ngiN,Natus Vincere,s1mple,flamie,electronic,Zeus,Edward,Train
Red Wolf,ViCi,zhokiNg,Savage,Freeman,HZ,advent,Red Wolf,Searph,DeStRoYeR,Mumu,WyCloud,Lieu,Inferno
Red Wolf,ViCi,HZ,Freeman,zhokiNg,advent,Savage,Red Wolf,DeStRoYeR,Searph,Lieu,Mumu,WyCloud,Mirage
ViCi,ViCi,zhokiNg,Freeman,advent,HZ,Savage,Red Wolf,Searph,DeStRoYeR,WyCloud,Mumu,Lieu,Train
MVP PK,MVP PK,solo,XigN,glow,zeff,HSK,ViCi,zhokiNg,HZ,advent,Freeman,Savage,Inferno
MVP PK,MVP PK,HSK,XigN,glow,zeff,solo,ViCi,Freeman,zhokiNg,Savage,HZ,advent,Mirage
Tricked,Red Reserve,Bååten,FREDDyFROG,PlesseN,djL,Relaxa,Tricked,Inzta,Ryxxo,Lukki,Console,snedker,Cobblestone
Red Reserve,Red Reserve,Relaxa,FREDDyFROG,PlesseN,djL,Bååten,Tricked,Inzta,Console,Lukki,snedker,Ryxxo,Overpass
Movistar Riders,Movistar Riders,dragunov,meisoN,mopoz,donQ,alex,Reason,TeSeS,Basso,larsen,KS,haste,Train
Movistar Riders,Movistar Riders,alex,dragunov,donQ,meisoN,mopoz,Reason,larsen,haste,TeSeS,Basso,KS,Overpass
Reason,Movistar Riders,dragunov,meisoN,mopoz,alex,donQ,Reason,TeSeS,larsen,haste,Basso,KS,Cache
Wolfhound,LEOPARD,x1ron,mRmN,RaSHNeSS,FaRsh1d,Poor it up,Wolfhound,moSHniJJ,stOrm,PokeMon,FroZ,Ches,Mirage
Portal,Portal,Storax,traNz,HSB,KLnT,KriminaL,ORDER,Hatz,Liazz,emagine,BURNRUOk,malta,Mirage
ORDER,Chosen5,VIPPEER,Foolz,laTal,3ARK00Z,Zerocool,ORDER,Liazz,BURNRUOk,malta,Hatz,emagine,Inferno
Wolfhound,Parallax,Gratisfaction,Sico,LONSDALE,RaZ,n1ck,Wolfhound,PokeMon,Ches,stOrm,moSHniJJ,FroZ,Inferno
Fire Dragoon,ORDER,Liazz,Hatz,BURNRUOk,malta,emagine,Fire Dragoon,d4v41,aimaNNN,Click-,YooNgHwe1,acAp,Train
Wolfhound,Wolfhound,Ches,stOrm,PokeMon,moSHniJJ,FroZ,New4,0i,xiaosaGe,gas,Jewelry,Drea3er,Cache
Wolfhound,Wolfhound,stOrm,moSHniJJ,Ches,PokeMon,FroZ,Control,void,1ukey,Bryaz,minnii,Frasbr,Inferno
Powar Rangirls,Asterisk fe,Alel,sabribri,brotato,Aurelle,Kyuubi,Powar Rangirls,Neko,Pyngkuchan,Juniverse,LinhTibber,Luberry,Cache
Asterisk fe,Asterisk fe,sabribri,Alel,brotato,Aurelle,Kyuubi,Powar Rangirls,Neko,Pyngkuchan,LinhTibber,Juniverse,Luberry,Cobblestone
Asterisk fe,Asterisk fe,sabribri,Alel,Aurelle,Kyuubi,brotato,Powar Rangirls,Luberry,LinhTibber,Neko,Pyngkuchan,Juniverse,Mirage
No IdeA,LeetPro fe,ShazZ,NatzZii,Scorpie,Angelwingz,Psymone,No IdeA,43tw,KumbyMM,Day2,Chi,Bluesummer,Inferno
