Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,1WIN,Bogatiri,16,1,Overpass
Team1,1WIN,EveryBodyDance,9,16,Train
Team1,1WIN,Hard Legion,6,16,Overpass
Team1,1WIN,Hard Legion,7,16,Mirage
Team1,1WIN,Juggernauts,16,12,Nuke
Team1,1WIN,Juggernauts,3,16,Inferno
Team1,1WIN,Nemiga,5,16,Inferno
Team1,1WIN,SG.pro,16,13,Overpass
Team1,1WIN,Unique,19,15,Nuke
Team1,1WIN,pro100,6,16,Dust2
Team2,1WIN,Bogatiri,16,8,Train
Team2,1WIN,EveryBodyDance,16,5,Dust2
Team2,1WIN,Juggernauts,11,16,Train
Team2,1WIN,Unique,14,16,Train
