Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,3DMAX,AGO,16,5,Mirage
Team1,3DMAX,AGO,7,16,Overpass
Team1,3DMAX,Akopalipsa,16,10,Inferno
Team1,3DMAX,BIG,4,16,Cache
Team1,3DMAX,Bpro,8,16,Inferno
Team1,3DMAX,Chaos,16,6,Mirage
Team1,3DMAX,G2,16,7,Inferno
Team1,3DMAX,HoP,16,10,Inferno
Team1,3DMAX,Red Reserve,16,12,Dust2
Team1,3DMAX,Sprout,19,16,Dust2
Team1,3DMAX,Sprout,19,22,Inferno
Team1,3DMAX,Tricked,16,7,Dust2
Team1,3DMAX,Valiance,10,16,Mirage
Team1,3DMAX,Vega Squadron,16,6,Inferno
Team1,3DMAX,Vexed,16,13,Inferno
Team1,3DMAX,expert,13,16,Inferno
Team1,3DMAX,expert,16,12,Nuke
Team1,3DMAX,expert,16,13,Mirage
Team1,3DMAX,unknown,9,16,Train
Team1,3DMAX,x6tence Galaxy,16,13,Mirage
Team2,3DMAX,G2,13,16,Train
Team2,3DMAX,Izako Boars,16,5,Dust2
Team2,3DMAX,LDLC,11,16,Dust2
Team2,3DMAX,LDLC,16,4,Inferno
Team2,3DMAX,North,16,8,Dust2
Team2,3DMAX,Red Reserve,10,16,Overpass
Team2,3DMAX,SJ,16,6,Inferno
Team2,3DMAX,SJ,16,7,Inferno
Team2,3DMAX,Tricked,16,5,Overpass
Team2,3DMAX,Unicorns of Love,11,16,Inferno
Team2,3DMAX,Valiance,16,6,Inferno
Team2,3DMAX,Vega Squadron,16,3,Mirage
Team2,3DMAX,Vexed,14,16,Mirage
Team2,3DMAX,devils.one,16,6,Cache
Team2,3DMAX,expert,16,4,Cache
Team2,3DMAX,unknown,10,16,Overpass
Team2,3DMAX,x6tence Galaxy,16,7,Inferno
Team2,3DMAX,xDparty,16,6,Mirage
