Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,8EASY,5POWER,8,16,Dust2
Team1,8EASY,5POWER,8,16,Vertigo
Team1,8EASY,IPET,16,5,Cache
Team1,8EASY,IPET,7,16,Cache
Team1,8EASY,Mazaalai,16,12,Overpass
Team1,8EASY,Mazaalai,9,16,Train
Team1,8EASY,Thirteen,16,13,Inferno
Team1,8EASY,Thirteen,16,6,Overpass
Team1,8EASY,Very1z,19,15,Overpass
Team1,8EASY,ViCi,17,19,Dust2
Team1,8EASY,wNv,16,9,Train
Team2,8EASY,5POWER,10,16,Overpass
Team2,8EASY,IPET,16,9,Dust2
Team2,8EASY,NIRVANA,16,6,Mirage
Team2,8EASY,NIRVANA,16,6,Vertigo
Team2,8EASY,TYLOO,11,16,Train
Team2,8EASY,TYLOO,15,19,Mirage
Team2,8EASY,Thirteen,12,16,Dust2
Team2,8EASY,Very1z,16,2,Train
Team2,8EASY,wNv,16,9,Mirage
