Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,9z,Agressive,16,10,Overpass
Team1,9z,All Knights,16,14,Dust2
Team1,9z,All Knights,7,16,Inferno
Team1,9z,Atrapa2,12,16,Inferno
Team1,9z,DETONA,1,16,Mirage
Team1,9z,Denial,16,9,Inferno
Team1,9z,Falkol,16,12,Dust2
Team1,9z,Falkol,19,17,Overpass
Team1,9z,Imperial,19,17,Train
Team1,9z,Inflames,10,16,Overpass
Team1,9z,Inflames,3,16,Inferno
Team1,9z,Malvinas,13,16,Vertigo
Team1,9z,Nocturns,16,11,Mirage
Team1,9z,Nocturns,19,15,Dust2
Team1,9z,Rejected,16,14,Overpass
Team1,9z,Rysix,16,5,Dust2
Team1,9z,Rysix,19,17,Overpass
Team1,9z,Sinisters,16,12,Overpass
Team1,9z,Sinisters,16,14,Dust2
Team1,9z,Sons of Scoots,16,11,Overpass
Team1,9z,ex-Intic,16,9,Inferno
Team2,9z,Agressive,14,16,Dust2
Team2,9z,Agressive,16,19,Overpass
Team2,9z,Agressive,16,6,Train
Team2,9z,Atrapa2,14,16,Train
Team2,9z,Denial,14,16,Mirage
Team2,9z,Denial,16,8,Overpass
Team2,9z,Duck Nutz,19,22,Inferno
Team2,9z,Furious,16,7,Mirage
Team2,9z,Imperial,12,16,Inferno
Team2,9z,Malvinas,14,16,Overpass
Team2,9z,Malvinas,16,6,Inferno
Team2,9z,Rejected,13,16,Mirage
Team2,9z,Rejected,16,8,Inferno
Team2,9z,Rysix,19,22,Inferno
Team2,9z,Sinisters,16,7,Dust2
Team2,9z,Sons of Scoots,12,16,Inferno
Team2,9z,Sons of Scoots,16,7,Nuke
Team2,9z,ex-Intic,16,7,Vertigo
