Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,AGF,AVEZ,9,16,Train
Team1,AGF,Akopalipsa,16,11,Mirage
Team1,AGF,Akopalipsa,8,16,Inferno
Team1,AGF,Apeks,16,13,Dust2
Team1,AGF,Copenhagen Flames,8,16,Overpass
Team1,AGF,Heretics,16,14,Inferno
Team1,AGF,LDLC,16,12,Nuke
Team1,AGF,LDLC,16,9,Inferno
Team1,AGF,Lyngby Vikings,16,14,Dust2
Team1,AGF,PACT,14,16,Dust2
Team1,AGF,SJ,16,13,Nuke
Team1,AGF,SJ,5,16,Inferno
Team1,AGF,STEP,16,11,Inferno
Team1,AGF,STEP,16,13,Train
Team1,AGF,Sigma,16,4,Overpass
Team1,AGF,Sigma,22,18,Inferno
Team1,AGF,Sigma,7,16,Train
Team1,AGF,Squared,16,12,Overpass
Team1,AGF,Squared,19,16,Inferno
Team1,AGF,Söderberg & Partners,14,16,Dust2
Team1,AGF,Wisla Krakow,14,16,Nuke
Team1,AGF,Wisla Krakow,22,19,Inferno
Team1,AGF,kinetic,16,13,Mirage
Team2,AGF,Akopalipsa,12,16,Nuke
Team2,AGF,LDLC,12,16,Train
Team2,AGF,Maknitude,16,5,Overpass
Team2,AGF,Maknitude,16,9,Nuke
Team2,AGF,SJ,16,4,Overpass
Team2,AGF,Sigma,16,8,Overpass
Team2,AGF,Squared,14,16,Nuke
