Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,AOES,5 Monkeys,16,4,Mirage
Team1,AOES,Alpha Red,10,16,Mirage
Team1,AOES,ArkAngel,11,16,Train
Team1,AOES,ArkAngel,16,11,Mirage
Team1,AOES,Beyond,7,16,Inferno
Team1,AOES,FrostFire,16,10,Vertigo
Team1,AOES,Lucid Dream,13,16,Mirage
Team1,AOES,Lucid Dream,8,16,Nuke
Team1,AOES,SHIFT,16,13,Dust2
Team1,AOES,SHIFT,16,7,Mirage
Team2,AOES,5 Monkeys,16,2,Inferno
Team2,AOES,ArkAngel,18,22,Dust2
Team2,AOES,Beyond,11,16,Dust2
Team2,AOES,D13,16,4,Mirage
Team2,AOES,D13,16,5,Nuke
Team2,AOES,FrostFire,16,7,Mirage
Team2,AOES,FrostFire,16,9,Inferno
Team2,AOES,SHIFT,15,19,Inferno
Team2,AOES,Team123,16,7,Cache
