Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,AUGUST,2990,16,5,Train
Team1,AUGUST,Alpha Red,16,10,Train
Team1,AUGUST,BOOT,16,13,Mirage
Team1,AUGUST,MVP PK,16,14,Overpass
Team1,AUGUST,NAVI Junior,16,14,Dust2
Team1,AUGUST,OneThree,16,11,Inferno
Team1,AUGUST,OneThree,8,16,Nuke
Team1,AUGUST,R-Stars,11,16,Train
Team1,AUGUST,TYLOO,14,16,Train
Team1,AUGUST,ViCi,16,9,Train
Team1,AUGUST,nxl,16,10,Dust2
Team2,AUGUST,2990,16,9,Mirage
Team2,AUGUST,Alpha Red,16,9,Overpass
Team2,AUGUST,BOOT,16,9,Train
Team2,AUGUST,D13,16,7,Nuke
Team2,AUGUST,D13,16,7,Train
Team2,AUGUST,NAVI Junior,11,16,Train
Team2,AUGUST,R-Stars,12,16,Dust2
Team2,AUGUST,TYLOO,11,16,Inferno
Team2,AUGUST,TYLOO,14,16,Inferno
Team2,AUGUST,TYLOO,14,16,Train
Team2,AUGUST,ViCi,16,19,Nuke
