Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Airborne,4 and a half men,16,11,Mirage
Team1,Airborne,4 and a half men,9,16,Overpass
Team1,Airborne,AVANT,13,16,Mirage
Team1,Airborne,Formidable,16,14,Dust2
Team1,Airborne,Genuine,16,10,Overpass
Team1,Airborne,Genuine,16,11,Nuke
Team1,Airborne,Ground Zero,16,9,Inferno
Team1,Airborne,Ground Zero,6,16,Inferno
Team1,Airborne,PC419,16,12,Nuke
Team1,Airborne,Paradox,16,10,Inferno
Team1,Airborne,Paradox,16,7,Overpass
Team1,Airborne,Paradox,5,16,Dust2
Team2,Airborne,Genuine,13,16,Dust2
Team2,Airborne,ORDER,10,16,Inferno
Team2,Airborne,PC419,16,7,Nuke
Team2,Airborne,Paradox,14,16,Mirage
Team2,Airborne,Skyfire,14,16,Overpass
Team2,Airborne,TRIDENT,12,16,Dust2
Team2,Airborne,i sleep,11,16,Vertigo
Team2,Airborne,i sleep,13,16,Inferno
