Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Akatsuki,1820HT,16,8,Inferno
Team1,Akatsuki,AllTheRage,16,13,Nuke
Team1,Akatsuki,DivisionX,7,16,Train
Team1,Akatsuki,DivisionX,8,16,Dust2
Team1,Akatsuki,Gambit Youngsters,9,16,Inferno
Team1,Akatsuki,NoSurrender,17,19,Vertigo
Team1,Akatsuki,SACRAMENTO,16,12,Dust2
Team1,Akatsuki,SHIFT,10,16,Dust2
Team1,Akatsuki,SHIFT,6,16,Train
Team1,Akatsuki,TimeChasers,16,10,Train
Team1,Akatsuki,TimeChasers,16,5,Mirage
Team1,Akatsuki,Unique,16,10,Dust2
Team2,Akatsuki,AllTheRage,16,8,Inferno
Team2,Akatsuki,NoSurrender,16,6,Mirage
Team2,Akatsuki,Unique,13,16,Train
Team2,Akatsuki,Unique,16,9,Overpass
