Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,All Knights,9z,4,16,Vertigo
Team1,All Knights,Bring It On,16,11,Cache
Team1,All Knights,Bring It On,16,11,Inferno
Team1,All Knights,Bring It On,16,11,Inferno
Team1,All Knights,Bring It On,9,16,Dust2
Team1,All Knights,DETONA,1,16,Inferno
Team1,All Knights,DETONA,13,16,Nuke
Team1,All Knights,DETONA,16,12,Inferno
Team1,All Knights,DETONA,8,16,Dust2
Team1,All Knights,Dynasty,16,10,Cache
Team1,All Knights,Force of Modem,16,11,Overpass
Team1,All Knights,Force of Modem,16,3,Inferno
Team1,All Knights,Furious,8,16,Nuke
Team1,All Knights,S2N,9,16,Overpass
Team1,All Knights,Sharks,13,16,Cache
Team1,All Knights,Sinisters,16,12,Mirage
Team1,All Knights,Sinisters,16,8,Inferno
Team1,All Knights,ex-Bragantino,16,11,Mirage
Team1,All Knights,paiN,16,13,Cache
Team1,All Knights,paiN,2,16,Dust2
Team2,All Knights,9z,11,16,Mirage
Team2,All Knights,Furious,14,16,Dust2
Team2,All Knights,PELAFUSTANES,16,4,Train
Team2,All Knights,Quad,16,6,Mirage
Team2,All Knights,S2N,15,19,Train
Team2,All Knights,S2N,16,8,Train
Team2,All Knights,Sharks,11,16,Inferno
Team2,All Knights,Young Blood,16,4,Nuke
Team2,All Knights,ex-Bragantino,16,19,Cache
Team2,All Knights,ex-Bragantino,16,4,Overpass
Team2,All Knights,paiN,26,28,Inferno
