Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Aristocracy,AVANGAR,16,14,Overpass
Team1,Aristocracy,AVEZ,16,11,Mirage
Team1,Aristocracy,AVEZ,16,9,Dust2
Team1,Aristocracy,Ambush,16,14,Train
Team1,Aristocracy,Ambush,6,16,Overpass
Team1,Aristocracy,Ancient,31,27,Train
Team1,Aristocracy,Copenhagen Flames,16,11,Train
Team1,Aristocracy,GamerLegion,13,16,Overpass
Team1,Aristocracy,GamerLegion,16,10,Vertigo
Team1,Aristocracy,GamerLegion,16,11,Nuke
Team1,Aristocracy,GamerLegion,16,13,Overpass
Team1,Aristocracy,GamerLegion,16,5,Nuke
Team1,Aristocracy,GamerLegion,5,16,Overpass
Team1,Aristocracy,HAVU,16,13,Train
Team1,Aristocracy,HAVU,16,14,Nuke
Team1,Aristocracy,HellRaisers,10,16,Dust2
Team1,Aristocracy,HellRaisers,16,11,Mirage
Team1,Aristocracy,Illuminar,13,16,Nuke
Team1,Aristocracy,Illuminar,16,12,Overpass
Team1,Aristocracy,Illuminar,6,16,Vertigo
Team1,Aristocracy,Movistar Riders,16,13,Nuke
Team1,Aristocracy,NoChance,16,9,Train
Team1,Aristocracy,North,0,16,Overpass
Team1,Aristocracy,PACT,16,12,Vertigo
Team1,Aristocracy,PACT,16,14,Mirage
Team1,Aristocracy,PACT,16,2,Dust2
Team1,Aristocracy,PACT,19,17,Nuke
Team1,Aristocracy,SMASH,16,10,Mirage
Team1,Aristocracy,SMASH,16,4,Vertigo
Team1,Aristocracy,Se7en,16,1,Nuke
Team1,Aristocracy,Syman,19,17,Mirage
Team1,Aristocracy,Tricked,8,16,Mirage
Team1,Aristocracy,Unique,16,11,Train
Team1,Aristocracy,Unique,16,13,Overpass
Team1,Aristocracy,Unique,8,16,Mirage
Team1,Aristocracy,Virtus.pro,16,14,Mirage
Team1,Aristocracy,Virtus.pro,16,5,Nuke
Team1,Aristocracy,Winstrike,16,14,Dust2
Team1,Aristocracy,adwokacik,16,13,Nuke
Team1,Aristocracy,adwokacik,16,6,Mirage
Team1,Aristocracy,fnatic,8,16,Mirage
Team1,Aristocracy,forZe,16,13,Train
Team1,Aristocracy,forZe,16,14,Nuke
Team1,Aristocracy,forZe,16,9,Train
Team2,Aristocracy,Ancient,11,16,Overpass
Team2,Aristocracy,DreamEaters,16,4,Vertigo
Team2,Aristocracy,DreamEaters,16,9,Overpass
Team2,Aristocracy,Giants,16,8,Vertigo
Team2,Aristocracy,HAVU,12,16,Nuke
Team2,Aristocracy,HAVU,13,16,Dust2
Team2,Aristocracy,HellRaisers,14,16,Overpass
Team2,Aristocracy,Illuminar,10,16,Mirage
Team2,Aristocracy,Illuminar,17,19,Nuke
Team2,Aristocracy,NoChance,12,16,Dust2
Team2,Aristocracy,NoChance,16,6,Nuke
Team2,Aristocracy,SJ,16,6,Dust2
Team2,Aristocracy,SMASH,11,16,Inferno
Team2,Aristocracy,Se7en,16,19,Dust2
Team2,Aristocracy,Se7en,16,4,Mirage
Team2,Aristocracy,Sprout,10,16,Mirage
Team2,Aristocracy,Sprout,11,16,Dust2
Team2,Aristocracy,Tricked,10,16,Dust2
Team2,Aristocracy,Tricked,16,5,Train
Team2,Aristocracy,Unique,12,16,Mirage
Team2,Aristocracy,Unique,16,9,Dust2
Team2,Aristocracy,Valiance,16,19,Train
Team2,Aristocracy,Virtus.pro,16,19,Train
Team2,Aristocracy,forZe,20,22,Mirage
