Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Astral Influence,Content,16,14,Nuke
Team1,Astral Influence,Grayhound,8,16,Nuke
Team1,Astral Influence,Ground Zero,7,16,Mirage
Team1,Astral Influence,ORDER,9,16,Mirage
Team1,Astral Influence,Paradox,4,16,Overpass
Team1,Astral Influence,R!OT,16,11,Inferno
Team1,Astral Influence,R!OT,5,16,Mirage
Team2,Astral Influence,AVANT,14,16,Inferno
Team2,Astral Influence,Athletico,13,16,Cache
Team2,Astral Influence,ORDER,10,16,Inferno
Team2,Astral Influence,PC419,16,5,Train
