Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,BIG,3DMAX,16,19,Dust2
Team1,BIG,AGO,16,12,Nuke
Team1,BIG,AGO,16,7,Inferno
Team1,BIG,AGO,28,25,Dust2
Team1,BIG,AVANGAR,16,11,Inferno
Team1,BIG,AVANGAR,16,12,Dust2
Team1,BIG,AVANGAR,9,16,Inferno
Team1,BIG,Ancient,16,9,Inferno
Team1,BIG,Ancient,8,16,Nuke
Team1,BIG,Apeks,16,5,Dust2
Team1,BIG,Astralis,16,11,Dust2
Team1,BIG,Astralis,3,16,Nuke
Team1,BIG,Cloud9,14,16,Overpass
Team1,BIG,Complexity,10,16,Dust2
Team1,BIG,Complexity,19,17,Nuke
Team1,BIG,Copenhagen Flames,16,10,Inferno
Team1,BIG,Copenhagen Flames,16,13,Mirage
Team1,BIG,ENCE,10,16,Overpass
Team1,BIG,FURIA,13,16,Nuke
Team1,BIG,FURIA,7,16,Overpass
Team1,BIG,FURIA,9,16,Train
Team1,BIG,FaZe,10,16,Inferno
Team1,BIG,Gambit Youngsters,14,16,Vertigo
Team1,BIG,Gambit Youngsters,8,16,Dust2
Team1,BIG,GoldenGitte,13,16,Overpass
Team1,BIG,GoldenGitte,16,14,Inferno
Team1,BIG,HAVU,16,11,Nuke
Team1,BIG,Hard Legion,4,16,Train
Team1,BIG,HellRaisers,11,16,Overpass
Team1,BIG,HellRaisers,12,16,Inferno
Team1,BIG,HellRaisers,16,11,Dust2
Team1,BIG,HellRaisers,16,11,Mirage
Team1,BIG,HellRaisers,16,11,Mirage
Team1,BIG,HellRaisers,8,16,Dust2
Team1,BIG,HellRaisers,8,16,Train
Team1,BIG,HellRaisers,9,16,Overpass
Team1,BIG,Heroic,16,10,Mirage
Team1,BIG,Heroic,28,25,Cache
Team1,BIG,Illuminar,16,1,Mirage
Team1,BIG,KPI,16,13,Mirage
Team1,BIG,Liquid,3,16,Overpass
Team1,BIG,Liquid,7,16,Dust2
Team1,BIG,MELBET,16,13,Nuke
Team1,BIG,MIBR,19,16,Train
Team1,BIG,MVP PK,16,5,Overpass
Team1,BIG,MVP PK,8,16,Dust2
Team1,BIG,Movistar Riders,14,16,Mirage
Team1,BIG,NRG,4,16,Cache
Team1,BIG,Nemiga,16,13,Inferno
Team1,BIG,NiP,16,9,Inferno
Team1,BIG,NiP,8,16,Mirage
Team1,BIG,Nordavind,16,10,Dust2
Team1,BIG,Nordavind,16,12,Dust2
Team1,BIG,Nordavind,16,12,Overpass
Team1,BIG,Nordavind,16,3,Inferno
Team1,BIG,North,13,16,Train
Team1,BIG,North,16,4,Inferno
Team1,BIG,North,6,16,Dust2
Team1,BIG,North,6,16,Overpass
Team1,BIG,North,7,16,Inferno
Team1,BIG,OpTic,15,19,Dust2
Team1,BIG,OpTic,16,13,Mirage
Team1,BIG,OpTic,16,13,Overpass
Team1,BIG,OpTic,19,15,Mirage
Team1,BIG,OpTic,8,16,Vertigo
Team1,BIG,SMASH,16,13,Overpass
Team1,BIG,SMASH,16,2,Dust2
Team1,BIG,Secret,16,12,Nuke
Team1,BIG,Singularity,16,13,Nuke
Team1,BIG,Spirit,16,10,Nuke
Team1,BIG,Spirit,16,11,Cache
Team1,BIG,Sprout,16,1,Nuke
Team1,BIG,Sprout,16,11,Mirage
Team1,BIG,Sprout,16,13,Dust2
Team1,BIG,Sprout,16,4,Vertigo
Team1,BIG,Sprout,20,22,Vertigo
Team1,BIG,Syman,16,10,Vertigo
Team1,BIG,TYLOO,16,10,Train
Team1,BIG,TYLOO,16,13,Dust2
Team1,BIG,Tricked,15,19,Dust2
Team1,BIG,Valiance,16,9,Dust2
Team1,BIG,Valiance,5,16,Mirage
Team1,BIG,Virtus.pro,15,19,Dust2
Team1,BIG,Virtus.pro,16,11,Inferno
Team1,BIG,Virtus.pro,16,11,Train
Team1,BIG,Virtus.pro,5,16,Mirage
Team1,BIG,Windigo,11,16,Dust2
Team1,BIG,ex-3DMAX,16,10,Dust2
Team1,BIG,ex-3DMAX,16,13,Mirage
Team1,BIG,ex-Windigo,16,12,Mirage
Team1,BIG,ex-Windigo,19,16,Dust2
Team1,BIG,fnatic,16,12,Mirage
Team1,BIG,forZe,9,16,Nuke
Team1,BIG,mousesports,16,14,Inferno
Team1,BIG,mousesports,2,16,Mirage
Team1,BIG,mousesports,4,16,Inferno
Team1,BIG,paiN,16,14,Inferno
Team2,BIG,3DMAX,16,3,Inferno
Team2,BIG,AGO,10,16,Nuke
Team2,BIG,AVANGAR,16,7,Mirage
Team2,BIG,Apeks,16,8,Overpass
Team2,BIG,Astralis,14,16,Overpass
Team2,BIG,Cloud9,14,16,Cache
Team2,BIG,Complexity,16,19,Inferno
Team2,BIG,G2,13,16,Mirage
Team2,BIG,GamerLegion,18,22,Overpass
Team2,BIG,GoldenGitte,16,9,Mirage
Team2,BIG,Hard Legion,13,16,Inferno
Team2,BIG,HellRaisers,16,9,Mirage
Team2,BIG,Illuminar,16,7,Mirage
Team2,BIG,MVP PK,16,7,Inferno
Team2,BIG,Movistar Riders,10,16,Overpass
Team2,BIG,NRG,13,16,Mirage
Team2,BIG,Nordavind,16,3,Nuke
Team2,BIG,Nordavind,16,6,Mirage
Team2,BIG,North,12,16,Overpass
Team2,BIG,North,16,19,Nuke
Team2,BIG,North,16,6,Mirage
Team2,BIG,North,21,25,Nuke
Team2,BIG,OpTic,16,6,Nuke
Team2,BIG,SMASH,10,16,Mirage
Team2,BIG,SMASH,12,16,Dust2
Team2,BIG,SMASH,16,7,Inferno
Team2,BIG,SMASH,16,9,Nuke
Team2,BIG,Secret,16,9,Nuke
Team2,BIG,Singularity,16,9,Train
Team2,BIG,Spirit,10,16,Mirage
Team2,BIG,Spirit,11,16,Dust2
Team2,BIG,Spirit,16,4,Mirage
Team2,BIG,Sprout,11,16,Dust2
Team2,BIG,Sprout,16,8,Mirage
Team2,BIG,TYLOO,14,16,Inferno
Team2,BIG,Tricked,11,16,Nuke
Team2,BIG,Unicorns of Love,16,9,Nuke
Team2,BIG,Valiance,13,16,Dust2
Team2,BIG,Valiance,13,16,Mirage
Team2,BIG,Vitality,11,16,Mirage
Team2,BIG,Windigo,14,16,Overpass
Team2,BIG,Wisla Krakow,16,2,Nuke
Team2,BIG,paiN,16,6,Cache
Team2,BIG,pro100,13,16,Mirage
