Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,BOOM,Alpha Red,16,14,Inferno
Team1,BOOM,Alpha Red,6,16,Nuke
Team1,BOOM,Aster,16,11,Inferno
Team1,BOOM,Aster,16,13,Train
Team1,BOOM,BTRG,12,16,Nuke
Team1,BOOM,BTRG,2,16,Mirage
Team1,BOOM,Bren,10,16,Nuke
Team1,BOOM,Bren,7,16,Train
Team1,BOOM,Darkhorse,16,14,Inferno
Team1,BOOM,GTV.Revolution,16,7,Train
Team1,BOOM,Isurus,16,14,Mirage
Team1,BOOM,Isurus,19,17,Mirage
Team1,BOOM,Isurus,22,19,Mirage
Team1,BOOM,MiTH,28,25,Overpass
Team1,BOOM,RED Canids,7,16,Overpass
Team1,BOOM,TNC,19,17,Mirage
Team1,BOOM,TeamOne,14,16,Train
Team1,BOOM,TeamOne,16,1,Inferno
Team1,BOOM,TeamOne,16,9,Mirage
Team1,BOOM,ikarus,16,10,Inferno
Team1,BOOM,ikarus,16,5,Nuke
Team2,BOOM,Alpha Red,12,16,Train
Team2,BOOM,Entity,16,2,Train
Team2,BOOM,GTV.Revolution,16,7,Inferno
Team2,BOOM,Imperial,13,16,Dust2
Team2,BOOM,Imperial,16,2,Inferno
Team2,BOOM,Imperial,16,3,Vertigo
Team2,BOOM,Imperial,16,7,Nuke
Team2,BOOM,Imperial,16,9,Mirage
Team2,BOOM,Isurus,16,4,Overpass
Team2,BOOM,Isurus,16,6,Nuke
Team2,BOOM,Isurus,16,9,Inferno
Team2,BOOM,RED Canids,16,9,Nuke
Team2,BOOM,TNC,11,16,Inferno
Team2,BOOM,TeamOne,16,19,Nuke
