Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Ben's Anime Team,Ascent,16,14,Nuke
Team1,Ben's Anime Team,Bushido Boyz,16,10,Inferno
Team1,Ben's Anime Team,Divine,16,12,Mirage
Team1,Ben's Anime Team,INTZ,16,10,Mirage
Team1,Ben's Anime Team,LiViD,19,16,Mirage
Team1,Ben's Anime Team,Rap Gang,16,14,Mirage
Team1,Ben's Anime Team,Riot Squad,16,12,Nuke
Team1,Ben's Anime Team,Riot Squad,4,16,Inferno
Team1,Ben's Anime Team,Riot Squad,5,16,Dust2
Team1,Ben's Anime Team,Triumph,16,14,Nuke
Team2,Ben's Anime Team,Ascent,10,16,Mirage
Team2,Ben's Anime Team,Ascent,16,6,Inferno
Team2,Ben's Anime Team,Divine,16,7,Train
Team2,Ben's Anime Team,Just Swing,16,8,Mirage
Team2,Ben's Anime Team,Mythic,16,4,Dust2
Team2,Ben's Anime Team,TeamOne,12,16,Nuke
Team2,Ben's Anime Team,Triumph,15,19,Overpass
