Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Bpro,Budapest Five,16,12,Inferno
Team1,Bpro,Budapest Five,9,16,Mirage
Team1,Bpro,Depreso,16,10,Mirage
Team1,Bpro,Depreso,16,10,Overpass
Team1,Bpro,Espada,16,9,Overpass
Team1,Bpro,FATE,16,13,Cache
Team1,Bpro,FATE,8,16,Overpass
Team1,Bpro,KOVA,7,16,Nuke
Team1,Bpro,MegaWonsz9,16,10,Mirage
Team1,Bpro,MegaWonsz9,16,14,Inferno
Team1,Bpro,Nordavind,16,11,Mirage
Team1,Bpro,S&P,16,1,Train
Team1,Bpro,Unicorns of Love,5,16,Inferno
Team1,Bpro,Winstrike,12,16,Dust2
Team1,Bpro,devils.one,9,16,Train
Team1,Bpro,ex-Epsilon,10,16,Dust2
Team1,Bpro,ex-Epsilon,5,16,Inferno
Team2,Bpro,Budapest Five,16,7,Train
Team2,Bpro,Espada,16,7,Dust2
Team2,Bpro,FATE,16,6,Inferno
Team2,Bpro,GamePub,16,8,Inferno
Team2,Bpro,KOVA,16,8,Overpass
Team2,Bpro,Nordavind,16,5,Overpass
Team2,Bpro,Nordavind,18,22,Inferno
Team2,Bpro,OpTic,17,19,Overpass
Team2,Bpro,S&P,16,3,Overpass
Team2,Bpro,Spirit,10,16,Cache
Team2,Bpro,Winstrike,12,16,Overpass
Team2,Bpro,adwokacik,16,5,Inferno
Team2,Bpro,adwokacik,16,8,Mirage
Team2,Bpro,volgare,16,4,Train
